pair,comparison_id,average_distance,left_thumb,right_thumb,left_index,right_index,left_middle,right_middle,left_ring,right_ring,left_pinky,right_pinky,left_wrist,right_wrist,left_right_thumb,left_right_index,left_right_middle,left_right_ring,left_right_pinky,left_right_wrist,right_left_thumb,right_left_index,right_left_middle,right_left_ring,right_left_pinky,right_left_wrist,round,target,A_LH_referent,A_RH_referent,B_LH_referent,B_RH_referent,gesture_similarity_coding,A_begin_hmsm,A_begin_msec,A_end_hmsm,A_end_msec,A_duration_msec,A_round,A_trial,A_target,A_hands,B_begin_hmsm,B_begin_msec,B_end_hmsm,B_end_msec,B_duration_msec,B_round,B_trial,B_target,B_hands,pairnr,include,speaker_1,speaker_2,handedness,position,shape,movement,orientation,n_hand_A,n_hand_B,handedness_one_or_both,n_features_original,n_features,n_features_shape_movement,duration_diff,duration_diff_abs,A_begin_msec_adj,A_end_msec_adj,A_duration_msec_adj,B_begin_msec_adj,B_end_msec_adj,B_duration_msec_adj,min_duration_adj,hands_dtw
pair05,1,0.5314005966178021,0.356175539409451,0.19876366665326928,0.5402523381635882,0.3478680808924055,0.5846716670358225,0.3728856431874327,0.5497654756690128,0.38800966625134525,0.4905442062318393,0.38391549107485773,1.05543465647635,1.1085207283682512,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,R1-R2,16,16A+16C,16A+16C,16A+16C,16A+16C,H1P0S0M0R0,00:02:46.435,166435,00:02:47.595,167595,1160,R1,1.6,16,ppA_both,00:08:40.292,520292,00:08:41.012,521012,720,R2,2.3,16,ppB_both,5,1,A,B,1,0,0,0,0,2,2,1,1,1,0,440,440,166435.0,167595.0,1160.0,520292.0,521012.0,720.0,720.0,both
pair05,2,0.534702205822341,0.30709343628890445,0.3622121260025827,0.46076801361259967,0.44704307494679024,0.5225906274348715,0.40545770311771884,0.48891392432632647,0.4077778999254898,0.43663326830952287,0.4020424255710253,1.1909705259546348,0.9849234443776247,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,R1-R2,16,16A+16C,16A+16C,16A+16C,16A+16C,H1P0S0M0R0,00:02:50.417,170417,00:02:51.539,171539,1122,R1,1.6,16,ppA_both,00:08:40.292,520292,00:08:41.012,521012,720,R2,2.3,16,ppB_both,5,1,A,B,1,0,0,0,0,2,2,1,1,1,0,402,402,170417.0,171539.0,1122.0,520292.0,521012.0,720.0,720.0,both
pair05,3,0.26763357932885184,0.09685077832112117,0.2858099832936861,0.10556220294434379,0.34584240360108176,0.1001266500446519,0.28411022150681703,0.09080692700872588,0.2845445937291241,0.07403492560574118,0.2970433743580635,0.22755088385094874,1.0193200076819169,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,R1-R2,16,,16A+16C,16A+16C,16A+16C,H0P0S9M0R1,00:02:52.693,172693,00:02:52.933,172933,240,R1,1.6,16,ppA_right,00:08:40.292,520292,00:08:41.012,521012,720,R2,2.3,16,ppB_both,5,1,A,B,0,0,0,0,1,1,2,0,1,1,0,-480,480,172648.0,172978.0,330.0,520292.0,521012.0,720.0,330.0,both
pair05,4,0.27603761653211933,0.09644364244635835,0.2401456648871665,0.09452405027852424,0.37269575796045146,0.08230212590690067,0.24270669064996847,0.06446030107150623,0.24390730266593302,0.05189129843163369,0.2515507470449446,0.17580955311576502,1.3960142639262796,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,R1-R2,16,,16A,16A+16C,16A+16C,H0P0S1M0R1,00:02:54.881,174881,00:02:55.087,175087,206,R1,1.6,16,ppA_right,00:08:40.292,520292,00:08:41.012,521012,720,R2,2.3,16,ppB_both,5,1,A,B,0,0,1,0,1,1,2,0,2,2,1,-514,514,174819.0,175149.0,330.0,520292.0,521012.0,720.0,330.0,both
pair05,5,0.38427898943382865,0.334886312801906,0.2792107037722219,0.3692094756500631,0.3711362120328816,0.3763648005733584,0.2949735963933697,0.35604271151936634,0.2464018771731106,0.3840824908024223,0.20243964123454855,0.9788248765996054,0.41777517465308966,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,R1-R2,16,16C,,16A+16C,16A+16C,H0P0S0M0R0,00:02:56.611,176611,00:02:56.754,176754,143,R1,1.6,16,ppA_left,00:08:40.292,520292,00:08:41.012,521012,720,R2,2.3,16,ppB_both,5,1,A,B,0,0,0,0,0,1,2,0,0,0,0,-577,577,176517.5,176847.5,330.0,520292.0,521012.0,720.0,330.0,both
pair05,6,0.4112755872418511,0.2619344662714808,0.05014489583117605,0.41058777570180605,0.19618219823576424,0.4367535068862782,0.2731176151320866,0.44212842558241183,0.2936994348958764,0.41126998104618423,0.28308404624151035,0.8893925975166066,0.9870121035610313,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,R1-R2,16,16A+16C,16A+16C,16A+16C,16A+16C,H1P1S0M0R0,00:02:46.435,166435,00:02:47.595,167595,1160,R1,1.6,16,ppA_both,00:08:42.930,522930,00:08:43.210,523210,280,R2,2.3,16,ppB_both,5,1,A,B,1,1,0,0,0,2,2,1,2,2,0,880,880,166435.0,167595.0,1160.0,522905.0,523235.0,330.0,330.0,both
pair05,7,0.4113849529778766,0.19021813685050293,0.2525254539389738,0.3331790856141016,0.2843487978557875,0.3776304523731535,0.3093713839812509,0.38566619858330164,0.3234462072068217,0.3634257613484197,0.3114697950681884,1.0531030368227754,0.7522351260912417,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,R1-R2,16,16A+16C,16A+16C,16A+16C,16A+16C,H1P1S0M0R0,00:02:50.417,170417,00:02:51.539,171539,1122,R1,1.6,16,ppA_both,00:08:42.930,522930,00:08:43.210,523210,280,R2,2.3,16,ppB_both,5,1,A,B,1,1,0,0,0,2,2,1,2,2,0,842,842,170417.0,171539.0,1122.0,522905.0,523235.0,330.0,330.0,both
pair05,8,0.21702765795543252,0.12193387189412627,0.13313782094734017,0.12048998253203158,0.19254056631925529,0.13003787127540778,0.19808178868886026,0.09186428993725716,0.21668732524006526,0.05588501153076577,0.2323548581342175,0.28470457483841966,0.8266139341274436,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,R1-R2,16,,16A+16C,16A+16C,16A+16C,H0P1S1M0R1,00:02:52.693,172693,00:02:52.933,172933,240,R1,1.6,16,ppA_right,00:08:42.930,522930,00:08:43.210,523210,280,R2,2.3,16,ppB_both,5,1,A,B,0,1,1,0,1,1,2,0,3,3,1,-40,40,172648.0,172978.0,330.0,522905.0,523235.0,330.0,330.0,both
pair05,9,0.22278557043652958,0.11363960899348594,0.08636643168475848,0.11698510648590524,0.2153505117549573,0.12918974727960944,0.15944192252771244,0.08454208417918749,0.17623102147083,0.05011114478379516,0.1869002756468861,0.2669543134609038,1.0877146769703239,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,R1-R2,16,,16A,16A+16C,16A+16C,H0P0S1M1R1,00:02:54.881,174881,00:02:55.087,175087,206,R1,1.6,16,ppA_right,00:08:42.930,522930,00:08:43.210,523210,280,R2,2.3,16,ppB_both,5,1,A,B,0,0,1,1,1,1,2,0,3,3,2,-74,74,174819.0,175149.0,330.0,522905.0,523235.0,330.0,330.0,both
pair05,10,0.3853916774263817,0.21102210081182654,0.3903136360948261,0.2454346071014591,0.4382054618183207,0.23767682291517173,0.35684976024557874,0.2610581835042849,0.3159479513803042,0.32040016854388054,0.2722650162270861,0.8180125111351797,0.7575139093386623,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,R1-R2,16,16C,,16A+16C,16A+16C,H0P1S0M1R0,00:02:56.611,176611,00:02:56.754,176754,143,R1,1.6,16,ppA_left,00:08:42.930,522930,00:08:43.210,523210,280,R2,2.3,16,ppB_both,5,1,A,B,0,1,0,1,0,1,2,0,2,2,1,-137,137,176517.5,176847.5,330.0,522905.0,523235.0,330.0,330.0,both
