time,x_left_wrist,y_left_wrist,z_left_wrist,x_right_wrist,y_right_wrist,z_right_wrist,x_right_thumb_tip_relative,y_right_thumb_tip_relative,z_right_thumb_tip_relative,x_left_thumb_tip_relative,y_left_thumb_tip_relative,z_left_thumb_tip_relative,x_right_index_finger_tip_relative,y_right_index_finger_tip_relative,z_right_index_finger_tip_relative,x_left_index_finger_tip_relative,y_left_index_finger_tip_relative,z_left_index_finger_tip_relative,x_right_middle_finger_tip_relative,y_right_middle_finger_tip_relative,z_right_middle_finger_tip_relative,x_left_middle_finger_tip_relative,y_left_middle_finger_tip_relative,z_left_middle_finger_tip_relative,x_right_ring_finger_tip_relative,y_right_ring_finger_tip_relative,z_right_ring_finger_tip_relative,x_left_ring_finger_tip_relative,y_left_ring_finger_tip_relative,z_left_ring_finger_tip_relative,x_right_pinky_finger_tip_relative,y_right_pinky_finger_tip_relative,z_right_pinky_finger_tip_relative,x_left_pinky_finger_tip_relative,y_left_pinky_finger_tip_relative,z_left_pinky_finger_tip_relative,File,Speaker,comparison_id
564620.0,0.3318326837928712,-0.5160121897034475,0.2257864477339018,-0.271634464451741,0.3024642270982471,0.2257864131749398,0.0778037532441141,0.1857981586950663,-0.0113526279217111,-0.1441783202733321,-0.1384857346880599,-0.0145461098169654,0.1169516826959953,0.2100093139014924,-0.0298623045488188,-0.1292744934125637,-0.210236971380318,-0.0144046889386272,0.1468717214220277,0.1783713038535122,-0.0294779260669318,-0.1177393656049309,-0.2043992548786182,-0.0049237982237476,0.1651295838916146,0.1591020779234433,-0.0280020924882004,-0.1001152045681199,-0.1945133049008771,0.0016418093747389,0.1697536801186004,0.130371911783389,-0.0288586095463645,-0.0818504993539643,-0.1806848253827735,0.0080197041583303,015_b,B,484
564640.0,0.3309255105507118,-0.5166982596808192,0.2233739985446197,-0.2624633616516468,0.3249267768203103,0.2233739379469615,0.0628332572321154,0.1873015434240872,-0.0086422598361579,-0.144078375238568,-0.1377464967375994,-0.0147303458837257,0.1057284845751434,0.2102519504721389,-0.0264232077528738,-0.1293554982890879,-0.2095833304106245,-0.0151035031443494,0.1372638368254869,0.1829441678208927,-0.0256364017277015,-0.117638633154191,-0.2037980697727666,-0.0057098554794346,0.1557947896245792,0.1628670285072548,-0.0242899275662297,-0.1002598857989328,-0.1943477759647653,0.0008932659240471,0.1620930667251762,0.1360759949977539,-0.0248615132997652,-0.0820909165065704,-0.1808544276903569,0.0072207700606246,015_b,B,484
564660.0,0.329885160929074,-0.5172942522639523,0.2205644304305773,-0.2547727555049996,0.3411580129728753,0.2205643370139003,0.0506269922910505,0.1893376485105782,-0.0070657961120346,-0.1438540611788872,-0.1372273886679011,-0.0149652731046272,0.095994951259063,0.2088797470815104,-0.0242407277775114,-0.1294233559394418,-0.209069042736703,-0.0157853281230226,0.1287741700515038,0.1847957716578674,-0.0229186669303419,-0.1175767360244353,-0.2033002579584586,-0.0065100286956794,0.1473345894541727,0.1633605100964426,-0.0216525502454019,-0.1004893949537345,-0.1942450430263171,8.703575077534387e-05,0.1544309658030055,0.138015280244331,-0.0221571373343107,-0.0823353587903557,-0.1810897699495552,0.0063335497042953,015_b,B,484
564680.0,0.3287410479132116,-0.5177138413748787,0.217256711891755,-0.2483772244764929,0.3513457315682153,0.2172565857141347,0.0408814098038823,0.1916589917503752,-0.006497447367507,-0.1434109143932972,-0.1369861593741475,-0.0151624735646793,0.0876628967458555,0.2074451556842174,-0.0232783529871507,-0.129393559617901,-0.2087976590578502,-0.0162081279809562,0.1210552413148242,0.1855562026046675,-0.0214280949946066,-0.1174002166638135,-0.2028909519140533,-0.0070552555744423,0.1395637796732446,0.1623696379118957,-0.020155797387209,-0.1004777102762324,-0.1941238234452549,-0.0004785899023848,0.1469417785750878,0.1380437709265238,-0.0207959243164673,-0.0821933439333695,-0.1812299688698897,0.005697349092857,015_b,B,484
564700.0,0.3275972420223749,-0.5178611263138939,0.2133264844336711,-0.24336534552899,0.3560296885301766,0.2133263302886135,0.0336008998559241,0.1940116146994954,-0.0066166251587622,-0.1427722265736213,-0.1369606930150921,-0.0153032699622565,0.0808259100957471,0.2066662034054729,-0.0232519792786128,-0.1292423203419687,-0.208780644306584,-0.0163669430296387,0.1141185062865552,0.1863792757925588,-0.021000539340445,-0.1170588873633495,-0.2025738303287907,-0.007313298387635,0.1325895648253138,0.1611070299724468,-0.0196077105549611,-0.1000769968171787,-0.1939387570539605,-0.0007368502406386,0.1399190460681671,0.1375247974577902,-0.020523977137093,-0.0815255360637129,-0.181198339843184,0.0054012500407339,015_b,B,484
564720.0,0.3266257886455249,-0.5176778696470636,0.2090218666327864,-0.2399520466539072,0.356172664111503,0.2090216915266838,0.0291048413203375,0.1960720066957848,-0.0071577921954548,-0.1420600222098574,-0.1369959342969475,-0.0154585171741335,0.0756346102408799,0.2065611094149044,-0.0239027973034622,-0.1289846817789263,-0.2089025558480908,-0.0164802537968596,0.1081664224158542,0.187584627754932,-0.0213768041670273,-0.1166059155247083,-0.2023811801629782,-0.0074866166841492,0.126604404372518,0.1600934348938931,-0.0197026741040749,-0.0994008108010322,-0.1937390772513554,-0.0008838308711274,0.1335904114955685,0.1371298918488857,-0.0209532113120564,-0.080536061018664,-0.1810498877821009,0.0052341694405156,015_b,B,484
564740.0,0.3259615975793437,-0.5171666201574188,0.2048899469646921,-0.2382870595576132,0.3530123084472492,0.2048897581763497,0.0274792503529267,0.1974771688195877,-0.0080268252858306,-0.1413910380092353,-0.1369980046565744,-0.0157318188794354,0.0720261681846766,0.2067986780687998,-0.0251308546348545,-0.1286045366203363,-0.2090184215159585,-0.0167774093943618,0.1032825687481266,0.1887953674260405,-0.0223488939250691,-0.116097248228105,-0.2023352009414321,-0.0078082986801999,0.1215963239027004,0.159305000225389,-0.0202103120863279,-0.0986632773767803,-0.1936265549888998,-0.0011697950439241,0.1280149138668854,0.1368656069979659,-0.0217660935233944,-0.0795553305397496,-0.1809037846478745,0.0049138694653528,015_b,B,484
564760.0,0.3256388950259211,-0.5163892483039303,0.2013607478916954,-0.2383561166036511,0.3478151216942227,0.2013605517994225,0.0279497611349989,0.1981066895462064,-0.0092276926147409,-0.1408166665531081,-0.1370080876976631,-0.0161698198233838,0.0695458355855617,0.2070635120710988,-0.0268809238059766,-0.1280581534438971,-0.2090613991012881,-0.0172993892728625,0.0992930827298117,0.189464520679423,-0.0237543106723679,-0.1155672712823062,-0.2024275131500554,-0.0083452903480253,0.1173059222230471,0.1584815206675136,-0.0210224405799252,-0.0980377318875527,-0.1936937035859651,-0.0016751244928582,0.1231339858798637,0.1364174357956682,-0.0228027050956177,-0.0788288599273592,-0.1809126273186283,0.0043463241192796,015_b,B,484
564780.0,0.325591570219961,-0.5154553871619649,0.1985344343626296,-0.240051496028298,0.3416233880883395,0.1985342357014491,0.0289284668784538,0.1982684838866497,-0.0106802553962498,-0.1403208856331911,-0.1371102911893169,-0.0167232756048316,0.0674899599428814,0.2072371174671599,-0.0289286174103285,-0.1273314408475694,-0.2090568710355458,-0.0178878140143564,0.0958993941275916,0.1894046601610204,-0.0253522934433903,-0.1150550238025288,-0.2026490989738221,-0.0089677081440348,0.1134571120227923,0.1574802164650646,-0.0220286138610572,-0.0976128234504238,-0.1939849113689491,-0.0022665871484837,0.1189065253714818,0.1356681368662615,-0.0239679308026277,-0.0784342584537382,-0.1812222795286349,0.0036856918350895,015_b,B,484
564800.0,0.3256834355163707,-0.5144893562124118,0.1964576976119823,-0.2433364859206502,0.3350413361406386,0.1964574992250751,0.0288517646077591,0.1985284462470862,-0.0120986380196551,-0.13983591127218,-0.1373299076320888,-0.0172833917702555,0.0652955280729546,0.2074195500104663,-0.0308140003552083,-0.1264653288971015,-0.2090713956292949,-0.0183410759017231,0.0929205199610482,0.188980483946511,-0.0267599032014294,-0.1145920407771695,-0.2030006067335641,-0.0094772798859521,0.11000728469113,0.1565292199366996,-0.0229926436370199,-0.0973816470370832,-0.1944613017627938,-0.0027375489196194,0.1154172423275794,0.1349967001009404,-0.0250838936090475,-0.0782782692562915,-0.1818545023822575,0.0031767047413697,015_b,B,484
