X_LEFT_WRIST,Y_LEFT_WRIST,Z_LEFT_WRIST,X_LEFT_THUMB_TIP,Y_LEFT_THUMB_TIP,Z_LEFT_THUMB_TIP,X_LEFT_INDEX_FINGER_TIP,Y_LEFT_INDEX_FINGER_TIP,Z_LEFT_INDEX_FINGER_TIP,X_LEFT_MIDDLE_FINGER_TIP,Y_LEFT_MIDDLE_FINGER_TIP,Z_LEFT_MIDDLE_FINGER_TIP,X_LEFT_RING_FINGER_TIP,Y_LEFT_RING_FINGER_TIP,Z_LEFT_RING_FINGER_TIP,X_LEFT_PINKY_FINGER_TIP,Y_LEFT_PINKY_FINGER_TIP,Z_LEFT_PINKY_FINGER_TIP,X_RIGHT_WRIST,Y_RIGHT_WRIST,Z_RIGHT_WRIST,X_RIGHT_THUMB_TIP,Y_RIGHT_THUMB_TIP,Z_RIGHT_THUMB_TIP,X_RIGHT_INDEX_FINGER_TIP,Y_RIGHT_INDEX_FINGER_TIP,Z_RIGHT_INDEX_FINGER_TIP,X_RIGHT_MIDDLE_FINGER_TIP,Y_RIGHT_MIDDLE_FINGER_TIP,Z_RIGHT_MIDDLE_FINGER_TIP,X_RIGHT_RING_FINGER_TIP,Y_RIGHT_RING_FINGER_TIP,Z_RIGHT_RING_FINGER_TIP,X_RIGHT_PINKY_FINGER_TIP,Y_RIGHT_PINKY_FINGER_TIP,Z_RIGHT_PINKY_FINGER_TIP
0.607241035,0.774978399,2.3568278e-08,0.587775946,0.74645257,-0.00216439669,0.580794513,0.757234633,-0.00572025869,0.580245495,0.772247314,-0.0066913194,0.582466543,0.784054637,-0.00797786471,0.580934584,0.8020432,-0.00928552914,0.489590704,0.375966847,9.55380557e-08,0.527490795,0.32175681,-0.00388669944,0.5475263,0.37599352,-0.0129294386,0.548384905,0.382706612,-0.0121888751,0.546950817,0.386159956,-0.013318141,0.53919369,0.386947,-0.0133147296
0.604134679,0.773136377,1.99619095e-08,0.585989892,0.748476,-0.00356742856,0.580433249,0.757807553,-0.00840886403,0.580271,0.771548033,-0.00890492,0.582153797,0.782915533,-0.00957666151,0.580781,0.802166462,-0.0110453349,0.491475433,0.376536816,1.01953269e-07,0.528239,0.319496691,-0.00363226724,0.549037516,0.376976907,-0.0120426863,0.549242,0.38190645,-0.0107424529,0.54762429,0.385253876,-0.0115999961,0.540293455,0.387271553,-0.0114686582
0.605051,0.774374783,1.7829521e-08,0.584991515,0.750273705,-0.00289261923,0.581560075,0.756952465,-0.00748949172,0.580809712,0.771138668,-0.00817058701,0.582848787,0.782582819,-0.00888017938,0.580930173,0.801846921,-0.0103867417,0.493494034,0.374852091,1.02290187e-07,0.528044701,0.317051709,-0.00403390219,0.549642146,0.3715415,-0.0125053367,0.549645722,0.376639843,-0.0109046623,0.54747045,0.381331712,-0.0117750289,0.540760398,0.384290338,-0.0115265874
0.605385721,0.771136642,1.82340845e-08,0.58448565,0.749894321,-0.00259428448,0.581836343,0.7581622,-0.0072491318,0.580891371,0.771534741,-0.00746619049,0.582806,0.782229781,-0.00797632709,0.580422103,0.80187124,-0.00972958934,0.49531126,0.37347433,1.00131849e-07,0.528503478,0.31575,-0.00383147295,0.549399257,0.364927918,-0.0117316209,0.549544632,0.372919142,-0.0102354083,0.547622502,0.377906263,-0.0109304776,0.541832447,0.38054961,-0.0108540934
0.607665837,0.774301469,1.68069434e-08,0.585945666,0.754445076,-0.000456891,0.582363129,0.760830104,-0.00289674755,0.582362473,0.772899747,-0.00429653423,0.583017707,0.782609046,-0.00524457544,0.581595838,0.800929308,-0.006609248,0.497412026,0.371246189,9.1577121e-08,0.528688252,0.312298328,-0.00286503648,0.550026596,0.361807197,-0.0112717981,0.549520373,0.36934489,-0.00980174355,0.547722,0.373747796,-0.0107681639,0.54336226,0.375153184,-0.0108759915
0.605480373,0.770877838,1.37859972e-08,0.590537727,0.791764736,-0.00344463484,0.58183223,0.794879615,-0.00547149,0.580818,0.778978288,-0.00631509256,0.580490649,0.773819625,-0.00764173828,0.580819249,0.765535831,-0.00785237,0.49884358,0.367261916,8.5897959e-08,0.527720749,0.305554509,-0.00277600111,0.550375044,0.355726242,-0.011052195,0.549907327,0.363186568,-0.00949242152,0.548145294,0.368045181,-0.0101100076,0.54443723,0.368817657,-0.00997879915
0.604974031,0.774003446,-4.6487556e-09,0.580233872,0.747808516,-0.00305536296,0.580164969,0.756318033,-0.0077826851,0.581125438,0.769739032,-0.00792341121,0.582754791,0.782653,-0.00814000051,0.579789042,0.802386761,-0.00910334103,0.499996841,0.362813205,8.53338662e-08,0.527171552,0.30016619,-0.00293122977,0.549829364,0.34702307,-0.0108217588,0.549629748,0.354360908,-0.00921455119,0.548493326,0.359337717,-0.00987930689,0.545205474,0.362168968,-0.0100347744
0.604925692,0.770430863,1.22373356e-08,0.579345763,0.757023811,-0.00251006428,0.579326093,0.763405561,-0.00724232569,0.580228686,0.772124469,-0.00814700685,0.581486583,0.78298682,-0.00857744738,0.580854654,0.800814748,-0.00985528063,0.501195908,0.358279914,7.23044522e-08,0.526845396,0.297104686,-0.00186765648,0.549137175,0.338615328,-0.00909353886,0.549259365,0.346790761,-0.00789808203,0.548599541,0.352219224,-0.00890134927,0.545079589,0.351883113,-0.00893123262
0.604414,0.771555424,1.93134557e-08,0.584640205,0.749705195,-0.00262432056,0.581896,0.757513463,-0.00677881762,0.581523061,0.771732,-0.00669073313,0.58304,0.782350302,-0.00690809498,0.579849958,0.802043676,-0.00810829084,0.502998292,0.354558885,7.80293306e-08,0.526328683,0.292571664,-0.00168155914,0.548383415,0.332005739,-0.00864929333,0.549109042,0.339615017,-0.00740465149,0.549229801,0.345015377,-0.0081626121,0.54648912,0.344689131,-0.00839581713
0.605906129,0.773107529,2.4055451e-08,0.585091472,0.748368144,-0.00300041423,0.580484509,0.758222163,-0.00719460286,0.580034256,0.771535277,-0.00739974761,0.582218289,0.782967627,-0.0082666222,0.580085456,0.803026617,-0.00924403686,0.503890336,0.34947592,6.66611655e-08,0.525481343,0.288081437,-0.000582651177,0.548620105,0.325491697,-0.00729362108,0.54896909,0.331828743,-0.00627184473,0.549684763,0.336938322,-0.00732948026,0.54673624,0.33752051,-0.00736174872
