pair,comparison_id,average_distance,left,right,left_right,right_left,round,target,A_LH_referent,A_RH_referent,B_LH_referent,B_RH_referent,gesture_similarity_coding,A_begin_hmsm,A_begin_msec,A_end_hmsm,A_end_msec,A_duration_msec,A_round,A_trial,A_target,A_hands,B_begin_hmsm,B_begin_msec,B_end_hmsm,B_end_msec,B_duration_msec,B_round,B_trial,B_target,B_hands,pairnr,include,speaker_1,speaker_2,handedness,position,shape,movement,orientation,n_hand_A,n_hand_B,handedness_one_or_both,n_features_original,n_features,n_features_shape_movement,duration_diff,duration_diff_abs,A_begin_msec_adj,A_end_msec_adj,A_duration_msec_adj,B_begin_msec_adj,B_end_msec_adj,B_duration_msec_adj,min_duration_adj,hands_dtw
pair05,1,1.4614573005217868,1.5658063260087245,1.3571082750348493,1.391824322152226,1.5812725526710232,R1-R2,16,16A+16C,16A+16C,16A+16C,16A+16C,H1P0S0M0R0,00:02:46.435,166435,00:02:47.595,167595,1160,R1,1.6,16,ppA_both,00:08:40.292,520292,00:08:41.012,521012,720,R2,2.3,16,ppB_both,5,1,A,B,1,0,0,0,0,2,2,1,1,1,0,440,440,166435.0,167595.0,1160.0,520292.0,521012.0,720.0,720.0,both
pair05,2,1.4541424427345895,1.5669018217341169,1.341383063735062,1.5315952505140338,1.6042614760743508,R1-R2,16,16A+16C,16A+16C,16A+16C,16A+16C,H1P0S0M0R0,00:02:50.417,170417,00:02:51.539,171539,1122,R1,1.6,16,ppA_both,00:08:40.292,520292,00:08:41.012,521012,720,R2,2.3,16,ppB_both,5,1,A,B,1,0,0,0,0,2,2,1,1,1,0,402,402,170417.0,171539.0,1122.0,520292.0,521012.0,720.0,720.0,both
pair05,3,0.7714050037226494,0.31995696870886914,1.2228530387364296,1.0758163198686397,1.4173353353795446,R1-R2,16,,16A+16C,16A+16C,16A+16C,H0P0S9M0R1,00:02:52.693,172693,00:02:52.933,172933,240,R1,1.6,16,ppA_right,00:08:40.292,520292,00:08:41.012,521012,720,R2,2.3,16,ppB_both,5,1,A,B,0,0,0,0,1,1,2,0,1,1,0,-480,480,172648.0,172978.0,330.0,520292.0,521012.0,720.0,330.0,both
pair05,4,0.8940123948951078,0.2612232945924756,1.52680149519774,1.0292056027328815,1.7821968565936679,R1-R2,16,,16A,16A+16C,16A+16C,H0P0S1M0R1,00:02:54.881,174881,00:02:55.087,175087,206,R1,1.6,16,ppA_right,00:08:40.292,520292,00:08:41.012,521012,720,R2,2.3,16,ppB_both,5,1,A,B,0,0,1,0,1,1,2,0,2,2,1,-514,514,174819.0,175149.0,330.0,520292.0,521012.0,720.0,330.0,both
pair05,5,1.020619160104956,1.280351305857843,0.7608870143520686,1.2331029883928926,0.574920717023123,R1-R2,16,16C,,16A+16C,16A+16C,H0P0S0M0R0,00:02:56.611,176611,00:02:56.754,176754,143,R1,1.6,16,ppA_left,00:08:40.292,520292,00:08:41.012,521012,720,R2,2.3,16,ppB_both,5,1,A,B,0,0,0,0,0,1,2,0,0,0,0,-577,577,176517.5,176847.5,330.0,520292.0,521012.0,720.0,330.0,both
pair05,6,1.1926104198487302,1.2610342812102768,1.1241865584871835,1.1863510619684179,1.2642419212329328,R1-R2,16,16A+16C,16A+16C,16A+16C,16A+16C,H1P1S0M0R0,00:02:46.435,166435,00:02:47.595,167595,1160,R1,1.6,16,ppA_both,00:08:42.930,522930,00:08:43.210,523210,280,R2,2.3,16,ppB_both,5,1,A,B,1,1,0,0,0,2,2,1,2,2,0,880,880,166435.0,167595.0,1160.0,522905.0,523235.0,330.0,330.0,both
pair05,7,1.153345978191136,1.2966640968953658,1.0100278594869063,1.3678411898409275,1.2503870441098806,R1-R2,16,16A+16C,16A+16C,16A+16C,16A+16C,H1P1S0M0R0,00:02:50.417,170417,00:02:51.539,171539,1122,R1,1.6,16,ppA_both,00:08:42.930,522930,00:08:43.210,523210,280,R2,2.3,16,ppB_both,5,1,A,B,1,1,0,0,0,2,2,1,2,2,0,842,842,170417.0,171539.0,1122.0,522905.0,523235.0,330.0,330.0,both
pair05,8,0.6611696191416495,0.3803629129082814,0.9419763253750176,1.354605849098323,1.08307994247311,R1-R2,16,,16A+16C,16A+16C,16A+16C,H0P1S1M0R1,00:02:52.693,172693,00:02:52.933,172933,240,R1,1.6,16,ppA_right,00:08:42.930,522930,00:08:43.210,523210,280,R2,2.3,16,ppB_both,5,1,A,B,0,1,1,0,1,1,2,0,3,3,1,-40,40,172648.0,172978.0,330.0,522905.0,523235.0,330.0,330.0,both
pair05,9,0.7549142541038999,0.35428707124719355,1.1555414369606063,1.3250009867282304,1.4912030054032372,R1-R2,16,,16A,16A+16C,16A+16C,H0P0S1M1R1,00:02:54.881,174881,00:02:55.087,175087,206,R1,1.6,16,ppA_right,00:08:42.930,522930,00:08:43.210,523210,280,R2,2.3,16,ppB_both,5,1,A,B,0,0,1,1,1,1,2,0,3,3,2,-74,74,174819.0,175149.0,330.0,522905.0,523235.0,330.0,330.0,both
pair05,10,1.0543103652565033,1.0007926514000771,1.1078280791129294,1.1016350080947892,0.5258924739992301,R1-R2,16,16C,,16A+16C,16A+16C,H0P1S0M1R0,00:02:56.611,176611,00:02:56.754,176754,143,R1,1.6,16,ppA_left,00:08:42.930,522930,00:08:43.210,523210,280,R2,2.3,16,ppB_both,5,1,A,B,0,1,0,1,0,1,2,0,2,2,1,-137,137,176517.5,176847.5,330.0,522905.0,523235.0,330.0,330.0,both
