pair,comparison_id,average_distance,left,right,left_right,right_left,round,target,A_LH_referent,A_RH_referent,B_LH_referent,B_RH_referent,gesture_similarity_coding,A_begin_hmsm,A_begin_msec,A_end_hmsm,A_end_msec,A_duration_msec,A_round,A_trial,A_target,A_hands,B_begin_hmsm,B_begin_msec,B_end_hmsm,B_end_msec,B_duration_msec,B_round,B_trial,B_target,B_hands,pairnr,include,speaker_1,speaker_2,handedness,position,shape,movement,orientation,n_hand_A,n_hand_B,handedness_one_or_both,n_features_original,n_features,n_features_shape_movement,duration_diff,duration_diff_abs,A_begin_msec_adj,A_end_msec_adj,A_duration_msec_adj,B_begin_msec_adj,B_end_msec_adj,B_duration_msec_adj,min_duration_adj,hands_dtw
pair05,11,1.1078602410060747,1.310999615862867,0.9047208661492825,0.9896407511074838,1.312911672948557,R1-R2,16,16A+16C,16A+16C,,16A,H0P1S1M0R1,00:02:46.435,166435,00:02:47.595,167595,1160,R1,1.6,16,ppA_both,00:08:44.030,524030,00:08:44.230,524230,200,R2,2.3,16,ppB_right,5,1,A,B,0,1,1,0,1,2,1,0,3,3,1,960,960,166435.0,167595.0,1160.0,523965.0,524295.0,330.0,330.0,both
pair05,12,1.0335048809143,1.3455614921759271,0.7214482696526727,1.2010592746516444,1.274736740668968,R1-R2,16,16A+16C,16A+16C,,16A,H0P1S0M0R0,00:02:50.417,170417,00:02:51.539,171539,1122,R1,1.6,16,ppA_both,00:08:44.030,524030,00:08:44.230,524230,200,R2,2.3,16,ppB_right,5,1,A,B,0,1,0,0,0,2,1,0,1,1,0,922,922,170417.0,171539.0,1122.0,523965.0,524295.0,330.0,330.0,both
pair05,13,0.7761806079552644,0.3648499856924411,0.7761806079552644,1.5321201195153786,1.1010772848302557,R1-R2,16,,16A+16C,,16A,H1P1S0M0R1,00:02:52.693,172693,00:02:52.933,172933,240,R1,1.6,16,ppA_right,00:08:44.030,524030,00:08:44.230,524230,200,R2,2.3,16,ppB_right,5,1,A,B,1,1,0,0,1,1,1,1,3,3,0,40,40,172648.0,172978.0,330.0,523965.0,524295.0,330.0,330.0,right
pair05,14,1.000272537249547,0.3260961816219817,1.000272537249547,1.5042968218738921,1.496772512745889,R1-R2,16,,16A,,16A,H1P0S0M0R1,00:02:54.881,174881,00:02:55.087,175087,206,R1,1.6,16,ppA_right,00:08:44.030,524030,00:08:44.230,524230,200,R2,2.3,16,ppB_right,5,1,A,B,1,0,0,0,1,1,1,1,2,2,0,6,6,174819.0,175149.0,330.0,523965.0,524295.0,330.0,330.0,right
pair05,15,1.0411670904273134,1.1756024025815814,0.9067317782730451,0.9897703999641516,1.1750816835137643,R1-R2,16,16A+16C,16A+16C,16C,,H0P0S1M0R0,00:02:46.435,166435,00:02:47.595,167595,1160,R1,1.6,16,ppA_both,00:08:44.426,524426,00:08:44.700,524700,274,R2,2.3,16,ppB_left,5,1,A,B,0,0,1,0,0,2,1,0,1,1,1,886,886,166435.0,167595.0,1160.0,524398.0,524728.0,330.0,330.0,both
pair05,16,0.9890101542191989,1.2203751808202006,0.7576451276181971,1.2019684865304514,1.1340648564604743,R1-R2,16,16A+16C,16A+16C,16C,,H0P0S0M0R0,00:02:50.417,170417,00:02:51.539,171539,1122,R1,1.6,16,ppA_both,00:08:44.426,524426,00:08:44.700,524700,274,R2,2.3,16,ppB_left,5,1,A,B,0,0,0,0,0,2,1,0,0,0,0,848,848,170417.0,171539.0,1122.0,524398.0,524728.0,330.0,330.0,both
pair05,17,0.4111407439848972,0.4111407439848972,0.8003957836708218,1.532061887285933,0.9677147870692198,R1-R2,16,,16A+16C,16C,,H0P0S0M9R0,00:02:52.693,172693,00:02:52.933,172933,240,R1,1.6,16,ppA_right,00:08:44.426,524426,00:08:44.700,524700,274,R2,2.3,16,ppB_left,5,1,A,B,0,0,0,0,0,1,1,1,0,1,0,-34,34,172648.0,172978.0,330.0,524398.0,524728.0,330.0,330.0,right_left
pair05,18,0.929187802515069,0.929187802515069,1.36993528585518,0.9971262853650004,0.5224443833846445,R1-R2,16,16C,,16C,,H1P0S0M1R0,00:02:56.611,176611,00:02:56.754,176754,143,R1,1.6,16,ppA_left,00:08:44.426,524426,00:08:44.700,524700,274,R2,2.3,16,ppB_left,5,1,A,B,1,0,0,1,0,1,1,1,2,2,1,-131,131,176517.5,176847.5,330.0,524398.0,524728.0,330.0,330.0,left
pair05,19,1.5502080494241457,1.5502080494241457,1.3919215506551368,1.6166258776665934,1.5628794621812105,R1-R2,11,11C,,11C,,H1P0S0M0R0,00:09:45.272,585272,00:09:45.503,585503,231,R2,2.6,11,ppA_left,00:03:32.878,212878,00:03:33.038,213038,160,R1,1.7,11,ppB_left,5,1,B,A,1,0,0,0,0,1,1,1,1,1,0,71,71,585222.5,585552.5,330.0,212793.0,213123.0,330.0,330.0,left
pair05,20,1.5896850111748457,1.5896850111748457,1.414171772185364,1.644549847456922,1.5504901494729586,R1-R2,11,11C,,11C,,H1P0S0M0R0,00:09:46.267,586267,00:09:46.547,586547,280,R2,2.6,11,ppA_left,00:03:32.878,212878,00:03:33.038,213038,160,R1,1.7,11,ppB_left,5,1,B,A,1,0,0,0,0,1,1,1,1,1,0,120,120,586242.0,586572.0,330.0,212793.0,213123.0,330.0,330.0,left
pair05,21,1.5639044068969614,1.5639044068969614,1.4205182070987845,1.6439934271851353,1.5431325548501633,R1-R2,11,11C,,11C,,H1P0S0M0R0,00:09:46.869,586869,00:09:46.989,586989,120,R2,2.6,11,ppA_left,00:03:32.878,212878,00:03:33.038,213038,160,R1,1.7,11,ppB_left,5,1,B,A,1,0,0,0,0,1,1,1,1,1,0,-40,40,586764.0,587094.0,330.0,212793.0,213123.0,330.0,330.0,left
pair05,22,1.2640968774884505,1.2640968774884505,1.3614918634930013,1.0111877676385708,1.7875858775364566,R1-R2,11,11D,,11D,,H1P0S0M0R0,00:09:49.155,589155,00:09:49.315,589315,160,R2,2.6,11,ppA_left,00:03:25.468,205468,00:03:25.782,205782,314,R1,1.7,11,ppB_left,5,1,B,A,1,0,0,0,0,1,1,1,1,1,0,-154,154,589070.0,589400.0,330.0,205460.0,205790.0,330.0,330.0,left
pair05,23,0.6035443151860715,1.2976853779044089,0.6035443151860715,0.9651849869088469,0.8766815218794992,R1-R2,11,11D,,,11D,H0P0S0M1R1,00:09:49.155,589155,00:09:49.315,589315,160,R2,2.6,11,ppA_left,00:03:27.427,207427,00:03:27.467,207467,40,R1,1.7,11,ppB_right,5,1,B,A,0,0,0,1,1,1,1,1,2,3,1,120,120,589070.0,589400.0,330.0,207282.0,207612.0,330.0,330.0,left_right
pair05,24,1.5466525715926003,1.5466525715926003,0.43924645026148845,0.5298899507194859,1.5641971290475922,R1-R2,11,11C,,11C,,H1P0S0M0R0,00:09:58.871,598871,00:09:58.991,598991,120,R2,2.6,11,ppA_left,00:03:32.878,212878,00:03:33.038,213038,160,R1,1.7,11,ppB_left,5,1,B,A,1,0,0,0,0,1,1,1,1,1,0,-40,40,598766.0,599096.0,330.0,212793.0,213123.0,330.0,330.0,left
pair05,25,1.607112405256481,1.607112405256481,0.42031584268575706,0.5585880768216597,1.5684329977691982,R1-R2,11,11C,,11C,,H1P0S0M0R0,00:09:59.505,599505,00:09:59.905,599905,400,R2,2.6,11,ppA_left,00:03:32.878,212878,00:03:33.038,213038,160,R1,1.7,11,ppB_left,5,1,B,A,1,0,0,0,0,1,1,1,1,1,0,240,240,599505.0,599905.0,400.0,212793.0,213123.0,330.0,330.0,left
pair05,26,1.6368716301943103,1.6368716301943103,0.42668892972890193,0.5563793830455588,1.59729190724699,R1-R2,11,11C,,11C,,H1P0S0M0R0,00:10:01.395,601395,00:10:03.235,603235,1840,R2,2.6,11,ppA_left,00:03:32.878,212878,00:03:33.038,213038,160,R1,1.7,11,ppB_left,5,1,B,A,1,0,0,0,0,1,1,1,1,1,0,1680,1680,601395.0,603235.0,1840.0,212793.0,213123.0,330.0,330.0,left
pair05,27,0.8292400039702084,0.8292400039702084,0.46354727092828385,0.7802941420565677,0.8835586788591232,R1-R2,11,11A+11D,,11D,,H0P0S0M1R0,00:10:05.413,605413,00:10:05.573,605573,160,R2,2.6,11,ppA_left,00:03:25.468,205468,00:03:25.782,205782,314,R1,1.7,11,ppB_left,5,1,B,A,0,0,0,1,0,1,1,1,1,2,1,-154,154,605328.0,605658.0,330.0,205460.0,205790.0,330.0,330.0,left
pair05,28,0.7150694377232443,0.7664854405439077,0.8303448524146694,0.7150694377232443,1.6597410878234597,R1-R2,11,11A+11D,,,11D,H1P0S1M1R1,00:10:05.413,605413,00:10:05.573,605573,160,R2,2.6,11,ppA_left,00:03:27.427,207427,00:03:27.467,207467,40,R1,1.7,11,ppB_right,5,1,B,A,1,0,1,1,1,1,1,1,4,4,2,120,120,605328.0,605658.0,330.0,207282.0,207612.0,330.0,330.0,left_right
pair07,29,0.8777699230708077,0.8777699230708077,0.4677315500964724,0.4964984841281118,0.9269630061853235,R1,14,14D,,14D,,H0P1S0M0R0,00:01:29.925,89925,00:01:30.796,90796,871,R1,1.4,14,ppA_left,00:01:27.323,87323,00:01:28.003,88003,680,R1,1.4,14,ppB_left,7,1,B,A,0,1,0,0,0,1,1,1,1,2,0,191,191,89925.0,90796.0,871.0,87323.0,88003.0,680.0,680.0,left
pair07,30,0.7260813297166008,0.7260813297166008,0.45502811028874873,0.9468436729872676,0.428680306311826,R1,14,14D,,14D,,H0P1S0M0R0,00:01:29.925,89925,00:01:30.796,90796,871,R1,1.4,14,ppA_left,00:01:30.489,90489,00:01:31.602,91602,1113,R1,1.4,14,ppB_left,7,1,A,B,0,1,0,0,0,1,1,1,1,2,0,-242,242,89925.0,90796.0,871.0,90489.0,91602.0,1113.0,871.0,left
pair07,31,0.8235419996695785,0.8235419996695785,0.4934958308891919,0.5210327691781587,0.8802826796887493,R1,14,14D,,14D,,H1P1S0M0R0,00:01:31.324,91324,00:01:31.511,91511,187,R1,1.4,14,ppA_left,00:01:27.323,87323,00:01:28.003,88003,680,R1,1.4,14,ppB_left,7,1,B,A,1,1,0,0,0,1,1,1,2,2,0,-493,493,91252.5,91582.5,330.0,87323.0,88003.0,680.0,330.0,left
pair07,32,0.7606783621590385,0.7606783621590385,0.4879663939385387,0.4752033770582595,0.9083630427332916,R1,14,14D,,14D,,H1P1S0M0R0,00:01:31.324,91324,00:01:31.511,91511,187,R1,1.4,14,ppA_left,00:01:30.489,90489,00:01:31.602,91602,1113,R1,1.4,14,ppB_left,7,1,B,A,1,1,0,0,0,1,1,1,2,2,0,-926,926,91252.5,91582.5,330.0,90489.0,91602.0,1113.0,330.0,left
pair07,33,0.8944883235515265,0.901003232796991,0.887973414306062,1.1200850458299567,0.9249494203022971,R1,16,16A+16C,16A+16C,16A+16C,,H0P0S0M0R1,00:01:51.722,111722,00:01:54.443,114443,2721,R1,1.6,16,ppA_both,00:02:35.323,155323,00:02:35.483,155483,160,R1,1.6,16,ppB_left,7,1,A,B,0,0,0,0,1,2,1,0,1,1,0,2561,2561,111722.0,114443.0,2721.0,155238.0,155568.0,330.0,330.0,both
pair07,34,0.9713050178074757,0.990363762137819,0.9522462734771324,1.2153349282494839,0.9765856895126144,R1,16,16A+16C,16A+16C,16A+16C,,H0P0S0M0R1,00:02:24.231,144231,00:02:24.549,144549,318,R1,1.6,16,ppA_both,00:02:35.323,155323,00:02:35.483,155483,160,R1,1.6,16,ppB_left,7,1,A,B,0,0,0,0,1,2,1,0,1,1,0,158,158,144225.0,144555.0,330.0,155238.0,155568.0,330.0,330.0,both
pair07,35,1.029994572396761,1.0396168621837611,1.0203722826097605,1.2032526146595803,1.0993703249576912,R1,16,16A+16C,16A+16C,16A+16C,,H0P0S0M0R0,00:02:25.280,145280,00:02:26.040,146040,760,R1,1.6,16,ppA_both,00:02:35.323,155323,00:02:35.483,155483,160,R1,1.6,16,ppB_left,7,1,A,B,0,0,0,0,0,2,1,0,0,0,0,600,600,145280.0,146040.0,760.0,155238.0,155568.0,330.0,330.0,both
pair07,36,0.6861786132253553,0.6861786132253553,0.8716229166862528,0.7702911798950599,0.811443594865298,R1,16,,16A,16A+16C,,H0P0S0M0R0,00:01:49.177,109177,00:01:49.262,109262,85,R1,1.6,16,ppA_right,00:02:35.323,155323,00:02:35.483,155483,160,R1,1.6,16,ppB_left,7,1,A,B,0,0,0,0,0,1,1,1,0,1,0,-75,75,109054.5,109384.5,330.0,155238.0,155568.0,330.0,330.0,right_left
pair07,37,0.8460846449084747,0.8460846449084747,0.8933077491923426,1.0624859355763223,0.8484673792207712,R1,16,16C,,16A+16C,,H1P1S0M0R0,00:01:49.883,109883,00:01:50.123,110123,240,R1,1.6,16,ppA_left,00:02:35.323,155323,00:02:35.483,155483,160,R1,1.6,16,ppB_left,7,1,A,B,1,1,0,0,0,1,1,1,2,2,0,80,80,109838.0,110168.0,330.0,155238.0,155568.0,330.0,330.0,left
pair07,38,0.9483626074536876,0.854312310494153,1.0424129044132222,1.081333952992742,1.0483576831793067,R1,16,16C,16A,16A+16C,,H0P1S0M0R0,00:01:50.798,110798,00:01:50.838,110838,40,R1,1.6,16,ppA_both,00:02:35.323,155323,00:02:35.483,155483,160,R1,1.6,16,ppB_left,7,1,A,B,0,1,0,0,0,2,1,0,1,1,0,-120,120,110653.0,110983.0,330.0,155238.0,155568.0,330.0,330.0,both
pair07,39,1.034011089874614,0.9105142155911257,1.157507964158102,1.0509851461386426,1.1867827134111426,R1,16,16A,16C,16A+16C,,H0P1S0M0R0,00:02:12.749,132749,00:02:13.029,133029,280,R1,1.6,16,ppA_both,00:02:35.323,155323,00:02:35.483,155483,160,R1,1.6,16,ppB_left,7,1,A,B,0,1,0,0,0,2,1,0,1,1,0,120,120,132724.0,133054.0,330.0,155238.0,155568.0,330.0,330.0,both
pair07,40,0.9167181444615846,0.9167181444615846,1.2216397234327523,1.0084477990200873,1.2455464678574313,R1,16,,16C,16A+16C,,H0P0S0M0R0,00:02:13.318,133318,00:02:13.758,133758,440,R1,1.6,16,ppA_right,00:02:35.323,155323,00:02:35.483,155483,160,R1,1.6,16,ppB_left,7,1,A,B,0,0,0,0,0,1,1,1,0,1,0,280,280,133318.0,133758.0,440.0,155238.0,155568.0,330.0,330.0,right_left
pair07,41,0.9912810736073361,0.9912810736073361,1.111338902742443,1.0994417265515222,1.1298205727336683,R1,16,16A,,16A+16C,,H1P1S0M0R0,00:02:14.037,134037,00:02:14.145,134145,108,R1,1.6,16,ppA_left,00:02:35.323,155323,00:02:35.483,155483,160,R1,1.6,16,ppB_left,7,1,A,B,1,1,0,0,0,1,1,1,2,2,0,-52,52,133926.0,134256.0,330.0,155238.0,155568.0,330.0,330.0,left
pair07,42,0.9857428982394032,0.8596205026490077,1.1118652938297988,1.018463031274251,1.0484623643253062,R1,16,16A,16C,16A+16C,,H0P1S1M0R0,00:02:15.147,135147,00:02:15.228,135228,81,R1,1.6,16,ppA_both,00:02:35.323,155323,00:02:35.483,155483,160,R1,1.6,16,ppB_left,7,1,A,B,0,1,1,0,0,2,1,0,2,2,1,-79,79,135022.5,135352.5,330.0,155238.0,155568.0,330.0,330.0,both
pair07,43,0.7836749135465748,0.7836749135465748,1.041302642132348,0.8393065164500702,0.9735787548720678,R1,16,,16A,16A+16C,,H0P0S1M0R1,00:02:17.856,137856,00:02:17.936,137936,80,R1,1.6,16,ppA_right,00:02:35.323,155323,00:02:35.483,155483,160,R1,1.6,16,ppB_left,7,1,A,B,0,0,1,0,1,1,1,1,2,3,1,-80,80,137731.0,138061.0,330.0,155238.0,155568.0,330.0,330.0,right_left
pair07,44,0.9104338092514487,0.9104338092514487,0.9514990860311425,0.9625181594647818,0.899279117866414,R1,16,16C,,16A+16C,,H1P1S1M0R1,00:02:18.216,138216,00:02:18.336,138336,120,R1,1.6,16,ppA_left,00:02:35.323,155323,00:02:35.483,155483,160,R1,1.6,16,ppB_left,7,1,A,B,1,1,1,0,1,1,1,1,4,4,1,-40,40,138111.0,138441.0,330.0,155238.0,155568.0,330.0,330.0,left
pair07,45,0.7745721279539242,0.7714751992754352,0.777669056632413,1.3301757048693268,0.6494562030129194,R1,16,16C,,16C,16A,H0P1S0M0R0,00:01:49.883,109883,00:01:50.123,110123,240,R1,1.6,16,ppA_left,00:02:36.625,156625,00:02:37.147,157147,522,R1,1.6,16,ppB_both,7,1,A,B,0,1,0,0,0,1,2,0,1,1,0,-282,282,109838.0,110168.0,330.0,156625.0,157147.0,522.0,330.0,both
pair07,46,0.82624928970375,0.7939184250351624,0.8585801543723376,1.3360949890337952,0.8368969676325426,R1,16,16C,16A,16C,16A,H1P1S0M1R0,00:01:50.798,110798,00:01:50.838,110838,40,R1,1.6,16,ppA_both,00:02:36.625,156625,00:02:37.147,157147,522,R1,1.6,16,ppB_both,7,1,A,B,1,1,0,1,0,2,2,1,3,3,1,-482,482,110653.0,110983.0,330.0,156625.0,157147.0,522.0,330.0,both
pair07,47,0.8135895937774206,0.7569542940554082,0.870224893499433,1.0838371374958975,0.6749647854628975,R1,16,16C,,16C,16A,H0P1S1M0R1,00:02:18.216,138216,00:02:18.336,138336,120,R1,1.6,16,ppA_left,00:02:36.625,156625,00:02:37.147,157147,522,R1,1.6,16,ppB_both,7,1,A,B,0,1,1,0,1,1,2,0,3,3,1,-402,402,138111.0,138441.0,330.0,156625.0,157147.0,522.0,330.0,both
pair07,48,0.912517275253172,0.7979147829722345,1.0271197675341095,1.233673311185844,0.9544429030119765,R1,16,16A,16C,16C,16A,H1P1S0M0R0,00:02:12.749,132749,00:02:13.029,133029,280,R1,1.6,16,ppA_both,00:02:36.625,156625,00:02:37.147,157147,522,R1,1.6,16,ppB_both,7,1,A,B,1,1,0,0,0,2,2,1,2,2,0,-242,242,132724.0,133054.0,330.0,156625.0,157147.0,522.0,330.0,both
pair07,49,0.8941863489517593,0.7971760572452357,0.991196640658283,1.166425507786949,0.9983734185821089,R1,16,,16C,16C,16A,H0P1S0M0R0,00:02:13.318,133318,00:02:13.758,133758,440,R1,1.6,16,ppA_right,00:02:36.625,156625,00:02:37.147,157147,522,R1,1.6,16,ppB_both,7,1,A,B,0,1,0,0,0,1,2,0,1,1,0,-82,82,133318.0,133758.0,440.0,156625.0,157147.0,522.0,440.0,both
pair07,50,0.8499145550884746,0.7528285087310758,0.9470006014458733,1.1839034103020836,0.8070417482398721,R1,16,16A,16C,16C,16A,H1P1S1M1R0,00:02:15.147,135147,00:02:15.228,135228,81,R1,1.6,16,ppA_both,00:02:36.625,156625,00:02:37.147,157147,522,R1,1.6,16,ppB_both,7,1,A,B,1,1,1,1,0,2,2,1,4,4,2,-441,441,135022.5,135352.5,330.0,156625.0,157147.0,522.0,330.0,both
pair07,51,0.9066948986491572,0.8627597014710741,0.9506300958272403,1.2073741586598548,0.892165418227582,R1,16,16A,,16C,16A,H0P1S0M0R0,00:02:14.037,134037,00:02:14.145,134145,108,R1,1.6,16,ppA_left,00:02:36.625,156625,00:02:37.147,157147,522,R1,1.6,16,ppB_both,7,1,A,B,0,1,0,0,0,1,2,0,1,1,0,-414,414,133926.0,134256.0,330.0,156625.0,157147.0,522.0,330.0,both
pair07,52,0.7293344568387985,0.6742348724666934,0.7844340412109034,1.1672349757742215,0.6259351376259978,R1,16,,16A,16C,16A,H0P1S0M1R0,00:01:49.177,109177,00:01:49.262,109262,85,R1,1.6,16,ppA_right,00:02:36.625,156625,00:02:37.147,157147,522,R1,1.6,16,ppB_both,7,1,A,B,0,1,0,1,0,1,2,0,2,2,1,-437,437,109054.5,109384.5,330.0,156625.0,157147.0,522.0,330.0,both
pair07,53,0.8342491278236616,0.7297726077191022,0.9387256479282209,1.1781448856489747,0.7472398058555765,R1,16,,16A,16C,16A,H0P1S1M1R0,00:02:17.856,137856,00:02:17.936,137936,80,R1,1.6,16,ppA_right,00:02:36.625,156625,00:02:37.147,157147,522,R1,1.6,16,ppB_both,7,1,A,B,0,1,1,1,0,1,2,0,3,3,2,-442,442,137731.0,138061.0,330.0,156625.0,157147.0,522.0,330.0,both
pair07,54,0.7833833872769979,0.7801871007240058,0.78657967382999,1.2400452779517872,0.7304654621152716,R1,16,16A+16C,16A+16C,16C,16A,H1P1S0M0R1,00:01:51.722,111722,00:01:54.443,114443,2721,R1,1.6,16,ppA_both,00:02:36.625,156625,00:02:37.147,157147,522,R1,1.6,16,ppB_both,7,1,A,B,1,1,0,0,1,2,2,1,3,3,0,2199,2199,111722.0,114443.0,2721.0,156625.0,157147.0,522.0,522.0,both
pair07,55,0.7832229770145258,0.8311037888325041,0.7353421651965475,1.2385506200450143,0.7455164682456401,R1,16,16A+16C,16A+16C,16C,16A,H1P1S0M0R1,00:02:24.231,144231,00:02:24.549,144549,318,R1,1.6,16,ppA_both,00:02:36.625,156625,00:02:37.147,157147,522,R1,1.6,16,ppB_both,7,1,A,B,1,1,0,0,1,2,2,1,3,3,0,-204,204,144225.0,144555.0,330.0,156625.0,157147.0,522.0,330.0,both
pair07,56,0.844390958227482,0.8768478777655894,0.8119340386893747,1.2078362136875915,0.8813855126654366,R1,16,16A+16C,16A+16C,16C,16A,H1P1S0M0R0,00:02:25.280,145280,00:02:26.040,146040,760,R1,1.6,16,ppA_both,00:02:36.625,156625,00:02:37.147,157147,522,R1,1.6,16,ppB_both,7,1,A,B,1,1,0,0,0,2,2,1,2,2,0,238,238,145280.0,146040.0,760.0,156625.0,157147.0,522.0,522.0,both
pair07,57,0.7745476439295462,0.7748239748431981,0.7742713130158944,0.7740150892859526,0.7750808247616815,R1,11,11C,11C,11C,11C,H1P1S0M0R1,00:03:00.857,180857,00:03:01.303,181303,446,R1,1.7,11,ppA_both,00:02:57.404,177404,00:02:57.884,177884,480,R1,1.7,11,ppB_both,7,1,B,A,1,1,0,0,1,2,2,1,3,3,0,-34,34,180857.0,181303.0,446.0,177404.0,177884.0,480.0,446.0,both
pair07,58,0.5174319478253768,0.36767910853680863,0.6671847871139451,0.3678883698894971,0.667232161192366,R1,11,11C,11C,11C,,H0P1S0M0R1,00:03:00.857,180857,00:03:01.303,181303,446,R1,1.7,11,ppA_both,00:02:58.819,178819,00:02:59.168,179168,349,R1,1.7,11,ppB_left,7,1,B,A,0,1,0,0,1,2,1,0,2,2,0,97,97,180857.0,181303.0,446.0,178819.0,179168.0,349.0,349.0,both
