time,x_left_wrist,y_left_wrist,z_left_wrist,x_right_wrist,y_right_wrist,z_right_wrist,x_right_thumb_tip_relative,y_right_thumb_tip_relative,z_right_thumb_tip_relative,x_left_thumb_tip_relative,y_left_thumb_tip_relative,z_left_thumb_tip_relative,x_right_index_finger_tip_relative,y_right_index_finger_tip_relative,z_right_index_finger_tip_relative,x_left_index_finger_tip_relative,y_left_index_finger_tip_relative,z_left_index_finger_tip_relative,x_right_middle_finger_tip_relative,y_right_middle_finger_tip_relative,z_right_middle_finger_tip_relative,x_left_middle_finger_tip_relative,y_left_middle_finger_tip_relative,z_left_middle_finger_tip_relative,x_right_ring_finger_tip_relative,y_right_ring_finger_tip_relative,z_right_ring_finger_tip_relative,x_left_ring_finger_tip_relative,y_left_ring_finger_tip_relative,z_left_ring_finger_tip_relative,x_right_pinky_finger_tip_relative,y_right_pinky_finger_tip_relative,z_right_pinky_finger_tip_relative,x_left_pinky_finger_tip_relative,y_left_pinky_finger_tip_relative,z_left_pinky_finger_tip_relative,File,Speaker,comparison_id
751420.0,0.3670145034590769,-0.3702527928094927,0.1153715069505745,-0.4564256699288505,-0.3583220657780768,0.1153711579533138,-0.0906287853246527,-0.0535193383441097,-0.0443319286310997,0.0638855063030542,-0.0865809416450829,-0.0581069228635736,0.0163565759381394,-0.111916630404655,-0.0574449800644731,0.0161605578656937,-0.1201470645843105,-0.0613341601166427,0.0507779801406087,-0.1234943226694462,-0.0503408182566348,-0.0239941290113034,-0.127777023283869,-0.053929520376482,0.054021134493685,-0.1321408712037177,-0.0410676131051478,-0.0464228752140347,-0.1289935463089926,-0.0431613044997767,0.0286846942816269,-0.1512964031425121,-0.0289758041124437,-0.0522950928627869,-0.1337959171825327,-0.0390532196858476,032_b,B,1272
751440.0,0.3678698875769788,-0.366792763547922,0.1172564112405777,-0.4542406172534864,-0.3546697492247368,0.1172560528669206,-0.0832002538428192,-0.0485294427970264,-0.0484581947863687,0.0624056242967346,-0.0830800101949349,-0.0586564120620159,0.0298068457213583,-0.1087994052262293,-0.0620333016038264,0.012747363237021,-0.117003510562708,-0.0622051722704834,0.0635425930803378,-0.1188446490086425,-0.0544553534860469,-0.0281909590232021,-0.1238296579478812,-0.0548305848346168,0.0639128045058478,-0.1283262568185077,-0.044717954435645,-0.0506524192304915,-0.1257771578944884,-0.0440888862824141,0.0355010619636593,-0.1501448375027334,-0.032456922566708,-0.0557491586066771,-0.1309817219232303,-0.0397371731637322,032_b,B,1272
751460.0,0.3678597327591271,-0.3635096134310318,0.1192799247217451,-0.4524911182281397,-0.3490552298319525,0.1192795458962605,-0.0728405763684389,-0.0442592001673225,-0.054188963016172,0.0553693625672211,-0.079101013742791,-0.0604899421230965,0.0465880325365195,-0.1056671712690375,-0.0676621118571783,0.0029571207569713,-0.1137507004540103,-0.0646526321376092,0.0785285797652726,-0.1153205314223058,-0.0593549445285226,-0.0384167523751837,-0.1199283596522446,-0.0570857702399237,0.0755315137196063,-0.1259547315883762,-0.0489354369015961,-0.0600503887778809,-0.1226105629412304,-0.0460652230302876,0.0434101620801286,-0.1505909426129767,-0.0364189556392763,-0.0629756449580618,-0.1283035180262572,-0.0409010559126621,032_b,B,1272
751480.0,0.3674416669541334,-0.3605171299342546,0.1222716605086179,-0.4515776160984113,-0.3414801127503581,0.122271249772715,-0.0593826886147828,-0.0411707748871958,-0.0605944224466505,0.0431324136028684,-0.0749081385865135,-0.0635504552789806,0.0652874213253771,-0.1025437768357075,-0.0735159764421214,-0.0125379996545681,-0.1101812605031238,-0.0685389165270819,0.0949715464718781,-0.1132304218658775,-0.0642843241935885,-0.0542118738383139,-0.1158900710339696,-0.0604761783278414,0.0886514740752954,-0.1252317910216978,-0.0531074672817382,-0.0738815633666847,-0.1195900991936849,-0.0487473289728633,0.0527186080600772,-0.1526923670676865,-0.0403664645577692,-0.0735433058541911,-0.1257941121832595,-0.0423283364253231,032_b,B,1272
751500.0,0.3670893417755086,-0.3575643360142551,0.1262846281718291,-0.4509500138370101,-0.3326894819866686,0.1262841763168085,-0.0440259099282158,-0.0391709924649905,-0.0663568703474338,0.0273835465258929,-0.0710295621986869,-0.0673143529017832,0.0839239709662938,-0.0994532052893308,-0.0786497560998199,-0.0315502844744632,-0.1065590421431683,-0.073240232464728,0.1113086569031299,-0.1121872223739846,-0.0683955430617017,-0.0734744300383316,-0.1118799391941194,-0.0643871643779364,0.1022553843246766,-0.1256651784888536,-0.0566147575305612,-0.0900970634951608,-0.1170449178824912,-0.0515565129314818,0.0632366238438481,-0.1556793072436528,-0.0438162395010338,-0.0861250618147246,-0.1237131690607546,-0.0437437314411535,032_b,B,1272
751520.0,0.3668982577468189,-0.3542155912356439,0.1308239485330526,-0.4498440200542282,-0.3239241760195588,0.1308234539122238,-0.0284968827661104,-0.037671923586358,-0.0705387489782548,0.0110184024242142,-0.0678795032318766,-0.0709374304161504,0.1008928121394845,-0.0962048717897339,-0.0825239977665802,-0.0506567776273957,-0.1034871533791492,-0.0777831638207697,0.1261523579799851,-0.1112794223355719,-0.0712515054952319,-0.0927549389653362,-0.1084348145769733,-0.068002972003549,0.1152557583676548,-0.1262951775186427,-0.0592413792624362,-0.1058219587422672,-0.1152996475658456,-0.0539273199072681,0.0744411579240222,-0.158335592689423,-0.0466293741316276,-0.0985957112977572,-0.1224481665654386,-0.0449033504901092,032_b,B,1272
751540.0,0.3664684180068281,-0.3502622035218079,0.1353333600730116,-0.4479704008775963,-0.3160274654659412,0.1353328314652456,-0.0141054053634136,-0.0362430869910057,-0.073172240067844,-0.0025615997694276,-0.0653507831618607,-0.0736242908302166,0.1155277441226705,-0.0926418036176994,-0.0852985765366117,-0.0660988672227671,-0.1013971244403042,-0.0812124958155241,0.1390686215131214,-0.1098248345460466,-0.0730767626744188,-0.1083883941016342,-0.1059963320783681,-0.0706253781598543,0.1271459918592236,-0.1263541543290922,-0.0612528391704948,-0.1182754103644616,-0.1142666860519701,-0.0555182956382372,0.0857559124891334,-0.1598577642839296,-0.0490435199692163,-0.1086046310780864,-0.122041950706969,-0.0456346700277922,032_b,B,1272
751560.0,0.3653302085922847,-0.3459754214825097,0.1394876367690169,-0.4452533652931028,-0.3090397630679244,0.1394870886892623,-0.0017183120731109,-0.0349059276872214,-0.0750057318626054,-0.0107338389734468,-0.0628710789449993,-0.0750857356479579,0.1276644717157036,-0.088858724395846,-0.0874960419584345,-0.075122696229759,-0.100178912360819,-0.0831548730355962,0.1500866199212246,-0.1077885049958293,-0.0744477310396199,-0.1179278894027895,-0.1044206626259312,-0.0720757668994172,0.1376436172556485,-0.1256354410140732,-0.0630272495874051,-0.1257353340308146,-0.1133331412090727,-0.0563781652555088,0.0963666926210599,-0.1602253077637376,-0.0513275334275682,-0.114537942558565,-0.1218773258677075,-0.0459693364036886,032_b,B,1272
751580.0,0.3636727466132296,-0.3418908551063824,0.1432687762434082,-0.4414591751550448,-0.3029287617323066,0.1432682210946393,0.0080792296196735,-0.0334250686329786,-0.076671129948285,-0.0129962930414859,-0.0599776240332685,-0.0757498078214434,0.1371225235325606,-0.0848149453304514,-0.0894328473250418,-0.0772777417271998,-0.0993025589462388,-0.0841371663999141,0.1589310932327138,-0.1051883521318584,-0.0757520679535943,-0.1211876877342668,-0.1030147251749453,-0.0728780838052802,0.1461954211931428,-0.1240511568329094,-0.0646735916557845,-0.1282402357681083,-0.1117737854532072,-0.0569681491953871,0.1052661178660806,-0.1595200997809871,-0.0534767472939842,-0.1164013404584365,-0.1210102426356019,-0.0462603600686886,032_b,B,1272
751600.0,0.3625687365414727,-0.3383907107467538,0.1468844025770745,-0.4366485625686541,-0.2983690456842849,0.1468838480984943,0.015501539163415,-0.0306192376968472,-0.0781932962378237,-0.0112348698994766,-0.0567351139584832,-0.0765101470262565,0.1440342671025977,-0.0799142419583804,-0.0910554796976893,-0.0747011581396874,-0.0981962928163127,-0.085262990151398,0.16535485692001,-0.1013674588258846,-0.0769692580595045,-0.1202264304696945,-0.1010302733421131,-0.0739533995237373,0.1524635379396812,-0.121064674111655,-0.0660315558033518,-0.127563892642412,-0.1092484467171917,-0.0579263569160716,0.1120872929908386,-0.1571822815835486,-0.0552841818308874,-0.1158750597826261,-0.1188141498414991,-0.0470370694073551,032_b,B,1272
