comparison_id,pair,referent,hands_dtw,A_hands,B_hands,location,handshape,orientation,movement,speaker_1,round_1,trial_1,director_1,target_1,A_gesture_referent_1,B_gesture_referent_1,A_gesture_referent2_1,B_gesture_referent2_1,begin_time_1,end_time_1,duration_1,speaker_2,round_2,trial_2,director_2,target_2,A_gesture_referent_2,B_gesture_referent_2,A_gesture_referent2_2,B_gesture_referent2_2,begin_time_2,end_time_2,duration_2,begin_time_1_adj,end_time_1_adj,duration_1_adj,begin_time_2_adj,end_time_2_adj,duration_2_adj
436,13,09A,right,right,right,5,4,5,3,B,2,2_15,B,9,,09A,,,908340,908480,140,A,3,3_16,A,9,09A,,,,1115728,1115908,180,908245,908575,330,1115653,1115983,330
438,13,08A,both,right,both,4,3,5,1,B,3,3_3,B,8,,08A,,,959458,959738,280,A,4,4_4,A,8,08A,,,,1146622,1147022,400,959433,959763,330,1146622,1147022,400
445,13,08A,both,right,both,4,3,5,1,A,4,4_4,A,8,08A,,,,1146622,1147022,400,B,5,5_7,B,8,,08A,,,1291340,1291640,300,1146622,1147022,400,1291325,1291655,330
457,15,16A,both,right,both,5,4,5,5,A,1,1_7,A,16,16A,,,,169635,171655,2020,B,2,2_10,B,16,,16A,,16A,626293,626653,360,169635,171655,2020,626293,626653,360
460,15,03C,both,both,right,5,5,3,4,B,1,1_8,B,3,,03C,,,184638,185098,460,A,2,2_1,A,3,03C,,03D,,338570,339452,882,184638,185098,460,338570,339452,882
461,15,01A,right,right,right,5,3,2,5,B,1,1_10,B,1,,01A,,,209381,209461,80,A,2,2_7,A,1,01A,,,,588260,588414,154,209256,209586,330,588172,588502,330
469,15,13A,both,both,both,5,3,2,5,B,1,1_14,B,13,,13A,,,288617,288997,380,A,2,2_11,A,13,13A,,,,639451,639871,420,288617,288997,380,639451,639871,420
470,15,15C,both,both,both,4,5,5,0,B,1,1_16,B,15,,15C,,,308902,309282,380,A,1,1_16,B,15,15C,,,,331597,332407,810,308902,309282,380,331597,332407,810
475,15,05D,both,both,both,2,3,3,4,A,2,2_3,A,5,05D,,05E,,437685,438467,782,B,2,2_3,A,5,,05D,,05E,525280,525893,613,437685,438467,782,525280,525893,613
478,15,05C,right,right,right,5,2,5,4,A,2,2_3,A,5,05C,,,,521147,521407,260,B,3,3_4,B,5,,05C,,,761286,761526,240,521112,521442,330,761241,761571,330
479,15,05B,both,right,both,0,0,0,0,A,2,2_3,A,5,05B,,,,522950,523210,260,B,3,3_4,B,5,,05B,,,740103,740323,220,522915,523245,330,740048,740378,330
482,15,05D,both,both,both,2,4,1,0,A,2,2_3,A,5,05D,,05E,,528214,528808,594,B,3,3_4,B,5,,05D,,05E,771999,772219,220,528214,528808,594,771944,772274,330
483,15,05E,both,both,both,2,4,1,0,A,2,2_3,A,5,05D,,05E,,528214,528808,594,B,3,3_4,B,5,,05D,,05E,771999,772219,220,528214,528808,594,771944,772274,330
484,15,09C,right,right,right,5,5,5,5,A,2,2_5,A,9,09C,,,,555220,555560,340,B,2,2_5,A,9,,09C,,,564735,564835,100,555220,555560,340,564620,564950,330
485,15,09A,left_right,left,right,5,4,5,4,A,2,2_5,A,9,09A,,,,557398,557638,240,B,3,3_14,B,9,,09A,,,880014,880274,260,557353,557683,330,879979,880309,330
486,15,09D,right,right,right,2,2,0,2,A,2,2_5,A,9,09D,,,,559239,559479,240,B,3,3_14,B,9,,09D,,,874810,875250,440,559194,559524,330,874810,875250,440
501,15,02B,right,right,right,5,5,5,2,B,2,2_14,B,2,,02B,,,684462,684562,100,A,2,2_14,B,2,02B,02B,,,684490,684840,350,684347,684677,330,684490,684840,350
507,15,08B,right,right,right,5,3,3,4,A,3,3_3,A,8,08B,,,,731319,731639,320,B,4,4_4,B,8,,08B,,,940150,940370,220,731314,731644,330,940095,940425,330
509,15,05C,right,right,right,3,3,4,1,B,3,3_4,B,5,,05C,,,761286,761526,240,A,4,4_1,A,5,05C,,,,916052,916212,160,761241,761571,330,915967,916297,330
511,15,05A,right_left,right,left,5,4,4,5,B,3,3_4,B,5,,05A,,,768862,769322,460,A,4,4_1,A,5,05A,,,,918971,919131,160,768862,769322,460,918886,919216,330
514,15,01C,both,both,both,5,5,5,5,B,3,3_8,B,1,,01C,,,813465,813765,300,A,4,4_5,A,1,01C,,,,947899,948159,260,813450,813780,330,947864,948194,330
518,15,09A,right,right,right,4,0,0,5,B,3,3_14,B,9,,09A,,,880014,880274,260,A,4,4_3,A,9,09A,,,,931754,932054,300,879979,880309,330,931739,932069,330
521,15,08B,right,right,right,4,4,5,4,B,4,4_4,B,8,,08B,,,940150,940370,220,A,5,5_9,A,8,08B,,,,1137009,1137289,280,940095,940425,330,1136984,1137314,330
525,15,16C,left_right,left,right,1,2,2,3,B,4,4_8,B,16,,16C,,,975375,975735,360,A,4,4_8,B,16,16C,,,,987032,987432,400,975375,975735,360,987032,987432,400
527,15,16C,left_right,left,right,3,4,0,5,A,4,4_8,B,16,16C,16A,,,987218,987458,240,B,4,4_8,B,16,,16C,,,987986,988206,220,987173,987503,330,987931,988261,330
532,15,09A,right,right,right,4,3,5,3,B,5,5_2,B,9,,09A,,,1065219,1065339,120,A,6,6_5,A,9,09A,,,,1227865,1228165,300,1065114,1065444,330,1227850,1228180,330
536,15,08B,both,right,both,4,3,4,5,A,5,5_9,A,8,08B,,,,1137009,1137289,280,B,6,6_10,B,8,,08B,,,1261472,1261832,360,1136984,1137314,330,1261472,1261832,360
540,16,10A,both,both,right,2,5,5,3,A,1,1_11,A,10,10A,,10E,,547309,547861,552,B,2,2_4,B,10,,10A,,,780342,780584,242,547309,547861,552,780298,780628,330
543,16,13A,both,both,left,0,1,0,0,B,1,1_14,B,13,,13A,,,644215,644415,200,A,4,4_15,A,13,13A,,,,1291313,1291433,120,644150,644480,330,1291208,1291538,330
544,16,15D,right_left,right,left,0,4,0,3,B,1,1_16,B,15,,15D,,,703368,703648,280,A,2,2_9,A,15,15D,,,,876591,877918,1327,703343,703673,330,876591,877918,1327
545,16,15C,both,both,right,1,4,2,0,B,1,1_16,B,15,,15C,,,712931,713111,180,A,2,2_9,A,15,15C,,,,862991,863402,411,712856,713186,330,862991,863402,411
549,16,03C,right,right,right,5,5,0,4,A,4,4_7,A,3,03C,,,,1222936,1223596,660,B,5,5_8,B,3,,03C,,,1358482,1358764,282,1222936,1223596,660,1358458,1358788,330
550,16,03C,right,right,right,4,2,0,3,B,5,5_8,B,3,,03C,,,1370630,1370900,270,A,6,6_7,A,3,03C,,,,1578990,1579210,220,1370600,1370930,330,1578935,1579265,330
556,17,14D,both,both,both,4,4,5,5,A,1,1_3,A,14,14B,,14D,,119550,120350,800,B,2,2_16,B,14,,14B,,14D,936410,936790,380,119550,120350,800,936410,936790,380
559,17,09C,left,left,left,3,4,3,5,B,1,1_4,B,9,,09C,,,158342,158562,220,A,3,3_14,B,9,09C,,,,1132416,1132736,320,158287,158617,330,1132411,1132741,330
561,17,02A,both,both,right,2,0,0,0,A,1,1_5,A,2,02A,,,,183224,184034,810,B,2,2_14,B,2,,02A,,,891060,892140,1080,183224,184034,810,891060,892140,1080
563,17,07D,right,right,right,2,5,4,0,B,1,1_6,B,7,,07D,,,227825,228605,780,A,1,1_6,B,7,07D,,,,230047,230707,660,227825,228605,780,230047,230707,660
564,17,16A,right,right,right,1,3,0,0,A,1,1_7,A,16,16A,,,,257831,258411,580,B,2,2_10,B,16,,16A,,,814911,815654,743,257831,258411,580,814911,815654,743
570,17,03A,right,right,right,2,0,0,5,A,1,1_8,B,3,03A,,,,304564,305064,500,B,3,3_16,B,3,,03A,,,1161212,1161607,395,304564,305064,500,1161212,1161607,395
571,17,12A,right,right,right,5,0,0,5,A,1,1_9,A,12,12A,,,,316876,318072,1196,B,2,2_12,B,12,,12A,,,859583,860523,940,316876,318072,1196,859583,860523,940
577,17,08E,right_left,right,left,2,5,2,0,A,1,1_13,A,8,08E,,,,435155,436086,931,B,2,2_8,B,8,,08E,,,778000,779883,1883,435155,436086,931,778000,779883,1883
583,17,03D,right,right,right,4,4,4,4,A,2,2_1,A,3,03D,,,,600775,601953,1178,B,3,3_16,B,3,,03D,,,1154628,1157963,3335,600775,601953,1178,1154628,1157963,3335
589,17,10E,both,both,both,4,5,3,5,A,2,2_4,B,10,10A,,10E,,722335,723332,997,B,3,3_7,A,10,,10A,,10E,1039255,1039929,674,722335,723332,997,1039255,1039929,674
592,17,01A,right_left,right,left,3,5,5,5,A,2,2_7,A,1,01A,,,,765065,765805,740,B,3,3_8,B,1,,01A,,,1048057,1048537,480,765065,765805,740,1048057,1048537,480
597,17,13D,both,right,both,5,5,0,5,A,2,2_11,A,13,13D,,,,849468,851748,2280,B,3,3_2,B,13,,13D,,,970560,970920,360,849468,851748,2280,970560,970920,360
598,17,12A,right,right,right,5,0,0,1,B,2,2_12,B,12,,12A,,,859583,860523,940,A,3,3_13,A,12,12A,,,,1115544,1115724,180,859583,860523,940,1115469,1115799,330
604,17,11A,right,right,right,4,2,2,3,A,2,2_15,A,11,11A,,,,910832,911252,420,B,3,3_6,B,11,,11A,,,1022770,1022990,220,910832,911252,420,1022715,1023045,330
606,17,14A,right_left,right,left,0,3,2,0,B,2,2_16,B,14,,14A,,,923567,923947,380,A,3,3_15,A,14,14A,,,,1142302,1142582,280,923567,923947,380,1142277,1142607,330
608,17,14D,both,both,both,3,4,5,5,B,2,2_16,B,14,,14B,,14D,936410,936790,380,A,3,3_15,A,14,14B,,14D,,1144846,1145466,620,936410,936790,380,1144846,1145466,620
613,17,08E,right,right,right,5,0,1,2,A,3,3_3,A,8,08E,,,,982033,982733,700,B,4,4_4,B,8,,08E,,,1223206,1224528,1322,982033,982733,700,1223206,1224528,1322
616,17,06B+06C+06D,both,both,both,4,2,4,0,A,3,3_5,A,6,06B+06C+06D,,,,1010982,1011706,724,B,6,6_14,B,6,,06B+06C+06D,,,1724331,1724992,661,1010982,1011706,724,1724331,1724992,661
619,17,11C,left,left,left,5,0,0,5,B,3,3_6,B,11,,11C,,,1025722,1026882,1160,A,6,6_13,A,11,11C,,,,1717584,1717918,334,1025722,1026882,1160,1717584,1717918,334
621,17,01B,right_left,right,left,1,0,3,0,B,3,3_8,B,1,,01B,,,1051827,1052947,1120,A,4,4_5,A,1,01B,,,,1237538,1239080,1542,1051827,1052947,1120,1237538,1239080,1542
626,17,12A,right_left,right,left,2,4,4,4,A,3,3_13,A,12,12A,,,,1115544,1115724,180,B,3,3_13,A,12,,12A,,,1118277,1118897,620,1115469,1115799,330,1118277,1118897,620
630,17,12C,both,right,both,2,0,0,0,A,3,3_13,A,12,12C,,,,1122234,1122878,644,B,4,4_2,B,12,,12B,,12C,1187215,1187435,220,1122234,1122878,644,1187160,1187490,330
637,17,05A,both,right,both,4,5,5,5,A,4,4_1,A,5,05A,,,,1170869,1171223,354,B,5,5_6,B,5,,05A,,,1484979,1485236,257,1170869,1171223,354,1484942.5,1485272.5,330
639,17,12A,right,right,right,3,4,2,4,B,4,4_2,B,12,,12A,,,1200292,1201090,798,A,4,4_2,B,12,12A,,,,1201706,1203177,1471,1200292,1201090,798,1201706,1203177,1471
642,17,01B,both,right,both,3,5,5,4,A,4,4_5,A,1,01B,,,,1237538,1239080,1542,B,5,5_14,B,1,,01B,,,1576136,1577514,1378,1237538,1239080,1542,1576136,1577514,1378
646,17,03B,right,right,right,2,0,0,0,A,4,4_7,A,3,03B,,,,1270120,1271189,1069,B,4,4_7,A,3,,03B,,,1304541,1304861,320,1270120,1271189,1069,1304536,1304866,330
647,17,03C,right_left,right,left,2,5,5,5,A,4,4_7,A,3,03C,,,,1285235,1286631,1396,B,5,5_8,B,3,,03C,,,1510921,1512686,1765,1285235,1286631,1396,1510921,1512686,1765
651,17,13A,both,both,both,2,0,0,4,A,4,4_15,A,13,13A,,,,1403241,1404827,1586,B,5,5_12,B,13,,13A,,,1551115,1551338,223,1403241,1404827,1586,1551061.5,1551391.5,330
653,17,04B,right_left,right,left,3,0,2,1,B,4,4_16,B,4,,04B,,,1418102,1418725,623,A,5,5_15,A,4,04B,,,,1587343,1587964,621,1418102,1418725,623,1587343,1587964,621
657,17,03C,both,both,left,3,5,4,4,B,5,5_8,B,3,,03C,,,1510921,1512686,1765,A,6,6_7,A,3,03C,,,,1659787,1660501,714,1510921,1512686,1765,1659787,1660501,714
664,17,11A,right_left,right,left,4,2,2,1,B,5,5_16,B,11,,11A,,,1597500,1597878,378,A,6,6_13,A,11,11A,,,,1713799,1715361,1562,1597500,1597878,378,1713799,1715361,1562
666,18,04B,both,both,both,5,5,5,4,B,1,1_1,B,4,,04B,,,29590,29850,260,A,2,2_6,A,4,04B,,,,632890,633260,370,29555,29885,330,632890,633260,370
667,18,11B,right,right,right,5,5,5,5,A,1,1_2,A,11,11B,,,,43380,43580,200,B,2,2_15,B,11,,11B,,,831370,832060,690,43315,43645,330,831370,832060,690
670,18,14A,right,right,right,5,5,5,5,A,1,1_3,B,14,14A,,,,68200,69100,900,B,1,1_3,B,14,,14A,,,69180,69420,240,68200,69100,900,69135,69465,330
675,18,02C,left_right,left,right,5,0,2,2,A,1,1_5,B,2,02C,,,,126260,126960,700,B,1,1_5,B,2,,02C,,,139880,140640,760,126260,126960,700,139880,140640,760
679,18,02A,both,both,both,5,5,5,5,B,1,1_5,B,2,,02A,,,165120,165440,320,A,1,1_5,B,2,02A,,,,172670,172940,270,165115,165445,330,172640,172970,330
683,18,16A,both,both,both,4,5,5,4,B,1,1_7,B,16,,16A,,,248170,249120,950,A,1,1_7,B,16,16A,,,,255030,255580,550,248170,249120,950,255030,255580,550
686,18,12C,right,right,right,5,0,3,5,B,1,1_9,B,12,,12C,,,297360,297710,350,A,2,2_12,A,12,12C,,,,742760,743040,280,297360,297710,350,742735,743065,330
689,18,08B,both,both,both,3,3,5,3,B,1,1_13,B,8,,08B,,,425140,425820,680,A,1,1_13,B,8,08B,,,,459630,459860,230,425140,425820,680,459580,459910,330
692,18,13A,both,both,both,2,3,2,1,A,1,1_14,A,13,13A,,,,484280,484860,580,B,2,2_11,B,13,,13A,,,732100,733370,1270,484280,484860,580,732100,733370,1270
695,18,06A,right,right,right,4,5,3,4,B,1,1_15,B,6,,06A,,,503720,504380,660,A,2,2_2,A,6,06A,,,,556060,556310,250,503720,504380,660,556020,556350,330
697,18,15B,right,right,right,4,5,5,5,A,1,1_16,A,15,15B,,,,522540,523200,660,B,2,2_9,B,15,,15B,,,688350,688660,310,522540,523200,660,688340,688670,330
700,18,03C,right,right,right,4,0,0,1,B,2,2_1,B,3,,03C,,,539690,540600,910,A,3,3_16,A,3,03C,,,,1076620,1076980,360,539690,540600,910,1076620,1076980,360
704,18,06B,right,right,right,1,4,0,0,B,2,2_2,A,6,,06B,,,561390,561560,170,A,4,4_12,A,6,06B,,,,1249780,1250310,530,561310,561640,330,1249780,1250310,530
709,18,04A,right_left,right,left,3,5,5,2,A,2,2_6,A,4,04A,,,,630890,631380,490,B,3,3_9,B,4,,04A,,,993640,994240,600,630890,631380,490,993640,994240,600
713,18,08B,both,both,both,4,2,4,4,A,2,2_8,A,8,08B,,,,670700,670980,280,B,3,3_3,B,8,,08B,,,872120,872350,230,670675,671005,330,872070,872400,330
717,18,08E,right,right,right,3,4,3,4,A,2,2_8,A,8,08E,,,,679210,679600,390,B,3,3_3,B,8,,08E,,,867520,868020,500,679210,679600,390,867520,868020,500
719,18,15C,both,both,right,2,4,2,3,B,2,2_9,B,15,,15C,,,690160,694560,4400,A,3,3_10,A,15,15C,,,,1008230,1008930,700,690160,694560,4400,1008230,1008930,700
720,18,15A,both,both,right,0,4,2,0,B,2,2_9,B,15,,15A,,,696870,697540,670,A,3,3_10,A,15,15A,,,,1006200,1006550,350,696870,697540,670,1006200,1006550,350
725,18,13D,both,both,right,4,2,2,1,B,2,2_11,B,13,,13D,,,735030,735690,660,A,2,2_11,B,13,13D,13D,,,735040,735660,620,735030,735690,660,735040,735660,620
728,18,07B,both,both,left,1,2,0,2,B,2,2_13,B,7,,07B,,,786780,787330,550,A,3,3_12,A,7,07B,,,,1034110,1034620,510,786780,787330,550,1034110,1034620,510
730,18,11B,right,right,right,5,5,5,4,B,2,2_15,B,11,,11B,,,831370,832060,690,A,2,2_15,B,11,11B,,,,833420,833840,420,831370,832060,690,833420,833840,420
737,18,08C,both,both,right,0,0,0,0,B,3,3_3,B,8,,08C,,,893510,893810,300,A,3,3_3,B,8,08D,,08C,,922830,924060,1230,893495,893825,330,922830,924060,1230
738,18,08E,right,right,right,0,2,0,0,B,3,3_3,B,8,,08E,,,896710,897380,670,A,4,4_4,A,8,08E,,,,1148590,1148990,400,896710,897380,670,1148590,1148990,400
741,18,06D,right,right,right,4,5,5,5,B,3,3_5,B,6,,06D,,,947090,947580,490,A,4,4_12,A,6,06D,,,,1250860,1251200,340,947090,947580,490,1250860,1251200,340
745,18,04B,both,both,right,5,2,5,4,B,3,3_9,B,4,,04B,,,995420,996080,660,A,4,4_16,A,4,04B,,,,1281810,1282020,210,995420,996080,660,1281750,1282080,330
749,18,14D,both,both,both,5,5,4,4,B,3,3_15,B,14,,14B,,14D,1066380,1066780,400,A,4,4_6,A,14,14B,,14D,,1170710,1171120,410,1066380,1066780,400,1170710,1171120,410
757,18,08E,right,right,right,4,5,5,1,A,4,4_4,A,8,08E,,,,1148590,1148990,400,B,4,4_4,A,8,,08E,,,1151820,1152200,380,1148590,1148990,400,1151820,1152200,380
758,18,14A,right_left,right,left,5,4,4,3,A,4,4_6,A,14,14A,,,,1168430,1168860,430,B,5,5_3,B,14,,14A,,,1314540,1314900,360,1168430,1168860,430,1314540,1314900,360
760,18,14D,both,both,both,5,5,4,4,A,4,4_6,A,14,14B,,14D,,1170710,1171120,410,B,5,5_3,B,14,,14B,,14D,1312540,1313070,530,1170710,1171120,410,1312540,1313070,530
765,18,10D,right,right,right,4,4,5,4,A,4,4_10,A,10,10D,,,,1223450,1223910,460,B,5,5_11,B,10,,10D,,,1393610,1393920,310,1223450,1223910,460,1393600,1393930,330
767,18,06B,right,right,right,3,3,1,1,A,4,4_12,A,6,06B,,,,1249780,1250310,530,B,5,5_7,B,6,,06B,,,1351240,1351510,270,1249780,1250310,530,1351210,1351540,330
768,18,06D,right,right,right,3,0,0,4,A,4,4_12,A,6,06D,,,,1250860,1251200,340,B,5,5_7,B,6,,06D,,,1349780,1350310,530,1250860,1251200,340,1349780,1350310,530
769,18,07A,both,both,right,4,2,4,3,B,4,4_13,B,7,,07A,,,1259600,1259860,260,A,5,5_4,A,7,07A,,,,1324060,1324370,310,1259565,1259895,330,1324050,1324380,330
774,18,14A,right_left,right,left,5,4,4,3,B,5,5_3,B,14,,14A,,,1314540,1314900,360,A,6,6_16,A,14,14A,,,,1565000,1565490,490,1314540,1314900,360,1565000,1565490,490
776,18,06D,right,right,right,4,3,2,3,B,5,5_7,B,6,,06D,,,1351620,1351770,150,A,6,6_14,A,6,06D,,,,1550580,1551770,1190,1351530,1351860,330,1550580,1551770,1190
778,18,03C,right,right,right,4,0,2,0,A,5,5_8,A,3,03C,,,,1360370,1360770,400,B,6,6_7,B,3,,03C,,,1497240,1497930,690,1360370,1360770,400,1497240,1497930,690
782,18,11B,right,right,right,5,4,5,4,A,5,5_16,A,11,11B,,,,1444520,1444940,420,B,6,6_13,B,11,,11B,,,1540330,1540570,240,1444520,1444940,420,1540285,1540615,330
786,19,11A,both,both,both,5,2,4,5,A,1,1_2,A,11,11A,,11D,,33291,33816,525,B,2,2_15,B,11,,11A,,11D,725976,726236,260,33291,33816,525,725941,726271,330
789,19,11B,right,right,right,2,1,0,0,B,1,1_2,A,11,,11B,,,46350,46810,460,A,1,1_2,A,11,11B,,,,48531,48591,60,46350,46810,460,48396,48726,330
791,19,14C,both,right,both,1,4,3,0,B,1,1_3,B,14,,14C,,,61050,63579,2529,A,1,1_3,B,14,14C,,,,71659,72990,1331,61050,63579,2529,71659,72990,1331
794,19,14A,both,both,both,4,4,5,3,B,1,1_3,B,14,,14A,,,68607,68907,300,A,2,2_16,A,14,14A,,,,743025,743245,220,68592,68922,330,742970,743300,330
799,19,09B,both,both,both,5,2,0,2,B,1,1_4,A,9,,09B,,,98699,103587,4888,A,1,1_4,A,9,09B,09B,,,99169,100523,1354,98699,103587,4888,99169,100523,1354
800,19,09B,both,both,both,5,2,0,0,A,1,1_4,A,9,09B,09B,,,99169,100523,1354,B,1,1_4,A,9,09A,09B,,,101183,102145,962,99169,100523,1354,101183,102145,962
802,19,09C,left,left,left,2,0,0,0,A,1,1_4,A,9,09C,09C,,,103955,104295,340,B,2,2_5,B,9,,09C,,,541883,542083,200,103955,104295,340,541818,542148,330
804,19,15A,both,both,both,5,5,4,5,B,1,1_6,A,7,07B,15A,,,159374,160434,1060,A,1,1_16,A,15,15A,,,,476479,477339,860,159374,160434,1060,476479,477339,860
805,19,07B,both,both,both,5,5,5,4,A,1,1_6,A,7,07B,07B,,,171564,172305,741,B,2,2_13,B,7,,07B,,,663399,663554,155,171564,172305,741,663311.5,663641.5,330
808,19,16B,both,right,both,4,4,5,4,B,1,1_7,B,16,,16B,,,216370,217010,640,A,2,2_10,A,16,16B,,,,621299,622619,1320,216370,217010,640,621299,622619,1320
810,19,03C,both,right,both,4,0,4,4,A,1,1_8,A,3,03C,,,,239553,240193,640,B,2,2_1,B,3,,03C,,03D,490022,490802,780,239553,240193,640,490022,490802,780
814,19,12C,right_left,right,left,4,5,1,5,A,1,1_9,B,12,12C,,,,281611,281863,252,B,1,1_9,B,12,,12C,,,282987,283527,540,281572,281902,330,282987,283527,540
818,19,01C,both,both,both,4,0,0,0,A,1,1_10,A,1,01C,,,,297649,298538,889,B,2,2_7,B,1,,01C,,,559878,560318,440,297649,298538,889,559878,560318,440
828,19,08B,both,both,both,5,0,0,5,B,1,1_13,B,8,,08B,,,409436,410247,811,A,1,1_13,B,8,08B,,,,426673,427375,702,409436,410247,811,426673,427375,702
830,19,08E,both,both,both,5,5,4,3,B,1,1_13,B,8,,08D,,08E,419324,420244,920,A,1,1_13,B,8,08D,,08E,,430479,431079,600,419324,420244,920,430479,431079,600
835,19,13B,right,right,right,1,4,4,4,A,1,1_14,A,13,13B,13B,,,446766,447406,640,B,2,2_11,B,13,,13B,,,641391,641971,580,446766,447406,640,641391,641971,580
836,19,06D,both,right,both,2,4,0,0,B,1,1_15,B,6,,06D,,,455792,455912,120,A,1,1_15,B,6,06D,,,,464226,464426,200,455687,456017,330,464161,464491,330
841,19,09D,right,right,right,4,5,5,3,B,2,2_5,B,9,,09D,,,534061,535361,1300,A,3,3_14,A,9,09D,,,,927546,928386,840,534061,535361,1300,927546,928386,840
845,19,08A,both,both,both,1,0,0,2,A,2,2_8,A,8,08A,,,,575631,575891,260,B,3,3_3,B,8,,08A,,,774110,774630,520,575596,575926,330,774110,774630,520
847,19,08C,right,right,right,3,4,2,0,A,2,2_8,A,8,08C,,,,580612,580892,280,B,3,3_3,B,8,,08C,,,779599,779739,140,580587,580917,330,779504,779834,330
850,19,15B,right_left,right,left,2,0,2,2,B,2,2_9,B,15,,15B,,,593859,594099,240,A,3,3_10,A,15,15B,,,,884139,885179,1040,593814,594144,330,884139,885179,1040
852,19,15A,both,right,both,5,3,4,5,B,2,2_9,B,15,,15A,,,597545,598390,845,A,2,2_9,B,15,15A,,,,609725,610785,1060,597545,598390,845,609725,610785,1060
854,19,15A,right,right,right,5,4,5,5,A,2,2_9,B,15,15A,,,,609725,610785,1060,B,2,2_9,B,15,,15A,,,610962,611362,400,609725,610785,1060,610962,611362,400
856,19,16B,right,right,right,4,5,5,3,A,2,2_10,A,16,16B,,,,621299,622619,1320,B,2,2_10,A,16,,16B,,,629877,630177,300,621299,622619,1320,629862,630192,330
862,19,07B,both,both,both,5,4,5,0,B,2,2_13,B,7,,07B,,,695504,695884,380,A,3,3_12,A,7,07B,,,,902149,902779,630,695504,695884,380,902149,902779,630
864,19,11D,right_left,right,left,4,0,0,1,B,2,2_15,B,11,,11D,,,728506,729206,700,A,3,3_6,A,11,11D,,,,839285,840879,1594,728506,729206,700,839285,840879,1594
865,19,11C,left,left,left,5,5,0,4,B,2,2_15,B,11,,11C,,,729887,730527,640,A,3,3_6,A,11,11C,,,,843379,843579,200,729887,730527,640,843314,843644,330
867,19,14B,both,both,both,5,4,4,5,A,2,2_16,A,14,14B,,14D,,741829,742574,745,B,3,3_15,B,14,,14D,,14B,944980,946279,1299,741829,742574,745,944980,946279,1299
871,19,08A,both,right,both,1,0,0,0,B,3,3_3,B,8,,08A,,,791042,792800,1758,A,3,3_3,B,8,08A,,,,803119,803399,280,791042,792800,1758,803094,803424,330
873,19,08B,both,both,both,4,4,0,0,A,3,3_3,B,8,08B,,,,803999,804274,275,B,4,4_4,A,8,,08B,,,1026119,1027000,881,803971.5,804301.5,330,1026119,1027000,881
876,19,11C,left,left,left,4,4,2,4,A,3,3_6,A,11,11C,,,,843379,843579,200,B,4,4_9,B,11,,11C,,,1084379,1084939,560,843314,843644,330,1084379,1084939,560
888,19,09B,both,left,both,4,3,0,0,A,3,3_14,A,9,09B,09B,,,936116,936356,240,B,4,4_3,B,9,,09B,,,1017814,1018274,460,936071,936401,330,1017814,1018274,460
889,19,14B,both,both,both,3,3,3,0,B,3,3_15,B,14,,14D,,14B,963689,964259,570,A,3,3_15,B,14,14D,,14B,,969659,970139,480,963689,964259,570,969659,970139,480
892,19,14B,both,both,both,3,4,3,3,A,3,3_15,B,14,14D,,14B,,969659,970139,480,B,3,3_15,B,14,,14B,,,971056,971396,340,969659,970139,480,971056,971396,340
895,19,09A,right,right,right,3,0,0,1,B,4,4_3,B,9,,09A,,,1015055,1015650,595,A,5,5_2,A,9,09A,,,,1168494,1168934,440,1015055,1015650,595,1168494,1168934,440
899,19,14D,both,both,both,4,5,0,5,A,4,4_6,A,14,14D,,14B,,1047141,1047481,340,B,5,5_3,B,14,,14D,,14B,1175363,1175954,591,1047141,1047481,340,1175363,1175954,591
900,19,14C,both,right,both,3,3,4,2,A,4,4_6,A,14,14C,,,,1048421,1048641,220,B,5,5_3,B,14,,14C,,,1174598,1174818,220,1048366,1048696,330,1174543,1174873,330
903,19,15C,both,both,both,4,0,3,4,B,4,4_11,B,15,,15C,,,1106515,1107215,700,A,5,5_10,A,15,15C,,,,1225808,1227089,1281,1106515,1107215,700,1225808,1227089,1281
906,19,13A,both,both,both,5,5,5,4,A,4,4_15,B,13,13A,,,,1148299,1148663,364,B,4,4_15,B,13,,13A,,,1149464,1149595,131,1148299,1148663,364,1149364.5,1149694.5,330
909,19,09C,left,left,left,4,0,0,4,A,5,5_2,A,9,09C,,,,1169440,1169820,380,B,6,6_5,B,9,,09C,,,1309946,1310406,460,1169440,1169820,380,1309946,1310406,460
911,19,14B,both,both,both,5,2,5,4,B,5,5_3,B,14,,14D,,14B,1175363,1175954,591,A,5,5_3,B,14,14D,,14B,,1178673,1180815,2142,1175363,1175954,591,1178673,1180815,2142
912,19,14D,both,both,both,5,2,5,4,B,5,5_3,B,14,,14D,,14B,1175363,1175954,591,A,5,5_3,B,14,14D,,14B,,1178673,1180815,2142,1175363,1175954,591,1178673,1180815,2142
916,19,15B,right,right,right,4,0,3,2,A,5,5_10,A,15,15B,,,,1227730,1227910,180,B,6,6_1,B,15,,15B,,,1279684,1280124,440,1227655,1227985,330,1279684,1280124,440
922,20,04B,left_right,left,right,5,2,3,4,B,1,1_1,B,4,,04B,,,13348,13568,220,A,1,1_1,B,4,04B,,,,29071,29851,780,13293,13623,330,29071,29851,780
926,20,12A,right,right,right,1,2,0,0,B,1,1_9,B,12,,12A,,,297993,302735,4742,A,1,1_9,B,12,12A,,,,323525,323945,420,297993,302735,4742,323525,323945,420
