comparison_id,pair,referent,hands_dtw,A_hands,B_hands,location,handshape,orientation,movement,speaker_1,round_1,trial_1,director_1,target_1,A_gesture_referent_1,B_gesture_referent_1,A_gesture_referent2_1,B_gesture_referent2_1,begin_time_1,end_time_1,duration_1,speaker_2,round_2,trial_2,director_2,target_2,A_gesture_referent_2,B_gesture_referent_2,A_gesture_referent2_2,B_gesture_referent2_2,begin_time_2,end_time_2,duration_2,begin_time_1_adj,end_time_1_adj,duration_1_adj,begin_time_2_adj,end_time_2_adj,duration_2_adj
159,8,08E,right,right,right,5,3,3,3,B,2,2_4,B,8,,08E,,,706230,706690,460,A,2,2_4,B,8,08E,,,,707940,709240,1300,706230,706690,460,707940,709240,1300
161,8,07C,both,both,both,5,0,4,5,A,2,2_9,A,7,07C,,,,781690,783030,1340,B,3,3_10,B,7,,07C,,,1049220,1049600,380,781690,783030,1340,1049220,1049600,380
163,8,12A,right,right,right,5,1,1,2,B,2,2_10,B,12,,12A,,,824260,824870,610,A,3,3_13,A,12,12A,,,,1099530,1100110,580,824260,824870,610,1099530,1100110,580
171,8,07C,both,both,both,5,4,3,5,B,3,3_10,B,7,,07C,,,1050780,1051380,600,A,4,4_9,A,7,07C,,,,1224830,1225480,650,1050780,1051380,600,1224830,1225480,650
172,8,04A,both,both,both,4,3,4,3,A,3,3_11,A,4,04A,,,,1070920,1071430,510,B,6,6_12,B,4,,04A,,,1581320,1581810,490,1070920,1071430,510,1581320,1581810,490
181,8,14B+14D,both,right,both,2,3,2,2,B,4,4_6,B,14,,14B+14D,,,1190020,1191190,1170,A,5,5_5,A,14,14B+14D,,,,1351650,1351980,330,1190020,1191190,1170,1351650,1351980,330
182,8,14C,right,right,right,5,4,5,5,B,4,4_6,B,14,,14C,,,1196270,1196590,320,A,4,4_6,B,14,14C,,,,1197370,1197800,430,1196265,1196595,330,1197370,1197800,430
184,8,09D,right,right,right,4,1,2,1,A,4,4_7,A,9,09D,,,,1206570,1207270,700,B,5,5_12,B,9,,09D,,,1430870,1431250,380,1206570,1207270,700,1430870,1431250,380
187,8,16A,both,both,both,4,1,1,0,B,4,4_12,B,16,,16A,,16C,1247970,1248590,620,A,5,5_3,A,16,16A,,,,1328200,1328850,650,1247970,1248590,620,1328200,1328850,650
191,8,10B+10F,both,right,both,4,4,5,5,B,4,4_16,B,10,,10B+10F,,,1291930,1292470,540,A,5,5_13,A,10,10B+10F,,,,1439210,1439930,720,1291930,1292470,540,1439210,1439930,720
193,8,14C,right,right,right,4,2,0,5,A,5,5_5,A,14,14C,,,,1350250,1350740,490,B,6,6_10,B,14,,14C,,,1566080,1566380,300,1350250,1350740,490,1566065,1566395,330
198,8,10A+10E,right,right,right,5,5,1,5,A,5,5_13,A,10,10A+10E,,,,1437270,1437580,310,B,6,6_16,B,10,,10A+10E,,,1613280,1613750,470,1437260,1437590,330,1613280,1613750,470
199,8,06C,right,right,right,2,3,1,1,A,5,5_15,A,6,06C,,,,1464200,1465020,820,B,6,6_6,B,6,,06C,,,1531950,1532520,570,1464200,1465020,820,1531950,1532520,570
203,9,02A,both,both,both,5,5,5,5,A,1,1_3,A,2,02A,,,,95100,95510,410,B,2,2_6,B,2,,02A,,,772670,772940,270,95100,95510,410,772640,772970,330
204,9,02B,both,both,both,0,4,1,0,B,1,1_3,A,2,,02B,,,98600,99530,930,A,1,1_3,A,2,02B,,,,99770,99990,220,98600,99530,930,99715,100045,330
206,9,04A,both,both,right,1,3,2,0,A,1,1_5,A,4,04A,,,,311550,312360,810,B,2,2_2,B,4,,04A,,,687410,687630,220,311550,312360,810,687355,687685,330
209,9,05A,both,left,both,0,0,0,0,B,1,1_6,B,5,,05A,,,334340,334720,380,A,1,1_6,B,5,05A,,,,362500,363090,590,334340,334720,380,362500,363090,590
210,9,05A,left_right,left,right,3,0,0,0,A,1,1_6,B,5,05A,,,,362500,363090,590,B,1,1_6,B,5,,05A,,,365820,366350,530,362500,363090,590,365820,366350,530
211,9,05A,both,both,right,5,5,5,4,B,1,1_6,B,5,,05A,,,366750,367700,950,A,2,2_1,A,5,05A,,,,651460,651780,320,366750,367700,950,651455,651785,330
222,9,11A,left_right,left,right,5,3,5,5,B,1,1_10,B,11,,11A,,,486610,486770,160,A,2,2_11,A,11,11A,,,,894420,894650,230,486525,486855,330,894370,894700,330
225,9,13A,both,both,both,3,3,2,2,B,1,1_12,B,13,13D,13A,,,544520,544900,380,A,2,2_7,A,13,13A,,,,788600,788780,180,544520,544900,380,788525,788855,330
227,9,14C,right,right,right,5,4,5,4,A,1,1_13,A,14,14C,,,,552650,553620,970,B,1,1_13,A,14,,14C,,,563560,564030,470,552650,553620,970,563560,564030,470
230,9,15A,both,both,both,5,5,5,5,B,1,1_14,B,15,,15A,,,585220,585560,340,A,2,2_5,A,15,15A,,,,765240,765430,190,585220,585560,340,765170,765500,330
231,9,06D,right_left,right,left,5,0,0,2,A,1,1_15,A,6,06D,,,,600690,600950,260,B,2,2_8,B,6,,06D,,,814370,814630,260,600655,600985,330,814335,814665,330
237,9,08B,both,both,both,3,4,5,5,B,2,2_4,B,8,,08B,,,723420,723570,150,A,3,3_3,A,8,08B,,,,1011080,1011810,730,723330,723660,330,1011080,1011810,730
241,9,12B,left,left,left,5,0,5,5,B,2,2_10,B,12,,12B,,,861720,861940,220,A,3,3_13,A,12,12B,,,,1121470,1121950,480,861665,861995,330,1121470,1121950,480
245,9,11A,both,left,both,1,3,5,0,A,2,2_11,A,11,11A,,,,894420,894650,230,B,3,3_6,B,11,,11A,,11D,1048250,1048660,410,894370,894700,330,1048250,1048660,410
248,9,03D,both,both,both,0,0,0,0,A,2,2_13,A,3,03C,,03D,,922220,922450,230,B,3,3_2,B,3,,03D,,,996850,997420,570,922170,922500,330,996850,997420,570
250,9,09B,both,both,both,5,3,1,3,A,2,2_15,A,9,09B,,,,962735,962980,245,B,3,3_16,B,9,,09B,,,1150770,1151470,700,962692.5,963022.5,330,1150770,1151470,700
252,9,14D,both,both,both,5,5,5,5,B,3,3_1,A,14,,14B,,14D,988950,989125,175,A,3,3_1,A,14,14B,14B,14D,14D,989050,989165,115,988872.5,989202.5,330,988942.5,989272.5,330
