matrix_idx,gesture_id,chain,generation,target,director,condition,participant,ent_type,code_string,code_len,num_reps,vid_len,phase,acc
0,ex3_ch1_g0_chef_B_TO_s25,chain1,0,chef,B,Transmission only,s25,person,"2hMustache,2hHat,1hHoldPan<shake>,2hHoldPan<shake>*2,1hPour<left>",5.0,0.0,,,
1,ex3_ch1_g0_restaurant_A_TO_s2,chain1,0,restaurant,A,Transmission only,s2,loc,"Chat+1hDine,look<left>+1hChat",2.0,0.0,,,
2,ex3_ch1_g0_frying_pan_A_TO_s3,chain1,0,frying pan,A,Transmission only,s3,obj,"2hPan.Outline,2hHoldPan<shake>,(1hHoldPan<shake>,1hStir),2hHoldPan<toss>,2hHoldPan<toss>",6.0,2.0,,,
3,ex3_ch1_g0_to_cook_B_TO_s28,chain1,0,to cook,B,Transmission only,s28,act,"1hHoldPan<leftcentre>,(1hHoldPan,1hFlame),1hPour<right>,1hPour<left>",5.0,2.0,,,
4,ex3_ch1_g0_vicar_A_TO_s5,chain1,0,vicar,A,Transmission only,s5,person,"2hPray,1hCollar,2hPray,nod",4.0,1.0,,,
5,ex3_ch1_g0_church_A_TO_s6,chain1,0,church,A,Transmission only,s6,loc,2hPray+bow,1.0,0.0,,,
6,ex3_ch1_g0_bible_B_TO_s31,chain1,0,bible,B,Transmission only,s31,obj,"2hTurnPage<repeated>,(1hPalm,1hPointatObj<atObj>),2hPray",4.0,0.0,,,
7,ex3_ch1_g0_to_preach_A_TO_s8,chain1,0,to preach,A,Transmission only,s8,act,"1hFingerWag<right,repeated>",2.0,0.0,,,
8,ex3_ch1_g0_photographer_A_TO_s9,chain1,0,photographer,A,Transmission only,s9,person,"1hThumbSelf<self-repeated>,Wink+2hCamera<asymm,1Press>",3.0,0.0,,,
9,ex3_ch1_g0_darkroom_B_TO_s34,chain1,0,darkroom,B,Transmission only,s34,loc,"Look+1hSee,Look+1hSee,2hPalm.Feel<left+right>",3.0,1.0,,,
10,ex3_ch1_g0_camera_B_TO_s35,chain1,0,camera,B,Transmission only,s35,obj,"2hCamera<symm,pressRepeated*4>,2hCamera,2hLens<twist,repeated>",5.0,1.0,,,
11,ex3_ch1_g0_to_take_a_photo_A_TO_s12,chain1,0,to take a photo,A,Transmission only,s12,act,"2hCamera<asymm,1Press>",2.0,0.0,,,
12,ex3_ch1_g0_singer_A_TO_s13,chain1,0,singer,A,Transmission only,s13,person,"1hSing<right>,1hSing<right>",2.0,1.0,,,
13,ex3_ch1_g0_concert_hall_A_TO_s14,chain1,0,concert hall,A,Transmission only,s14,loc,"2hViolin<play>,2hTrumpet<play>,2hDrums<play>,2hGuitar<play>",4.0,0.0,,,
14,ex3_ch1_g0_microphone_A_TO_s15,chain1,0,microphone,A,Transmission only,s15,obj,"Sing+1hMicrophone<hold>,(1hMicrophone<hold>,1hPointatObj<atObj>)",3.0,1.0,,,
15,ex3_ch1_g0_to_sing_B_TO_s40,chain1,0,to sing,B,Transmission only,s40,act,"Sing,1hSing,(1hPalm,1hPoint<read>),1hSing",5.0,1.0,,,
16,ex3_ch1_g0_hairdresser_A_TO_s17,chain1,0,hairdresser,A,Transmission only,s17,person,"1hScissors-Hair<left,repeated>,1hScissors-Hair<beard>,1hScissors-Hair<right>",4.0,2.0,,,
17,ex3_ch1_g0_hair_salon_B_TO_s42,chain1,0,hair salon,B,Transmission only,s42,loc,"2hScissors-HoldHair<left>,2hFluff,2hHair.Feel",3.0,0.0,,,
18,ex3_ch1_g0_scissors_B_TO_s43,chain1,0,scissors,B,Transmission only,s43,obj,"1hScissors<rightleft>,1hScissors<hold>",2.0,1.0,,,
19,ex3_ch1_g0_to_give_a_haircut_B_TO_s44,chain1,0,to give a haircut,B,Transmission only,s44,act,"2hHair,2hFluff,2hHair,2hHair<centre>,2hScissors-Hold<centre>,2hBrush-Hold<centre>,2hScissors-Hold<centre>",7.0,3.0,,,
20,ex3_ch1_g0_police_officer_A_TO_s21,chain1,0,police officer,A,Transmission only,s21,person,"Frown+1hPoint.Knock<right>,1hBadge<left>, 1hPoint.Knock<right>,2hHat,1hKnock<right>,1hFist",6.0,1.0,,,
21,ex3_ch1_g0_prison_B_TO_s46,chain1,0,prison,B,Transmission only,s46,loc,2hHoldBars<hold>+look+sad,1.0,0.0,,,
22,ex3_ch1_g0_handcuffs_A_TO_s23,chain1,0,handcuffs,A,Transmission only,s23,obj,2hFists.wristsX<hold>,1.0,0.0,,,
23,ex3_ch1_g0_to_make_an_arrest_B_TO_s48,chain1,0,to make an arrest,B,Transmission only,s48,act,"Cry+2hFists.wristsTogether<out>,2hFists.wristsTogether<in>",2.0,1.0,,,
24,ex3_ch1_g1_to_make_an_arrest_NA_TO_sing1,chain1,1,to make an arrest,,Transmission only,sing1,act,"1hWhistle, 1hPoint<front>,2hFistsX",3.0,0.0,4.884628,testing,
25,ex3_ch1_g1_darkroom_NA_TO_sing1,chain1,1,darkroom,,Transmission only,sing1,loc,"Look, 1hLook, 2hFeel<sides>",3.0,0.0,7.083917,testing,
26,ex3_ch1_g1_handcuffs_NA_TO_sing1,chain1,1,handcuffs,,Transmission only,sing1,obj,2hFistsX<emph>,1.0,0.0,4.524134,testing,
27,ex3_ch1_g1_concert_hall_NA_TO_sing1,chain1,1,concert hall,,Transmission only,sing1,loc,"2hBox,2hSing,2hViolin<play>",3.0,0.0,8.145763,testing,
28,ex3_ch1_g1_to_cook_NA_TO_sing1,chain1,1,to cook,,Transmission only,sing1,act,"1hPour<right>,1hPour<left>,1hHoldPan<shake,toss>",4.0,1.0,7.650745,testing,
