matrix_idx,gesture_id,chain,generation,target,director,condition,participant,ent_type,code_string,code_len,num_reps,vid_len,phase,acc
17,ex2_ch1_g0_hair_salon_B_TI,chain1,0,hair salon,B,Transmission + Interaction,s42,loc,"2hScissors-HoldHair<left>,2hFluff,2hHair.Feel",3.0,0.0,,testing,
18,ex2_ch1_g0_scissors_B_TI,chain1,0,scissors,B,Transmission + Interaction,s43,obj,"1hScissors<rightleft>,1hScissors<hold>",2.0,1.0,,testing,
19,ex2_ch1_g0_to_give_a_haircut_A_TI,chain1,0,to give a haircut,A,Transmission + Interaction,s20,act,"1hScissors,2hScissors-HoldHair<left>,2hScissors-HoldHair<left>*2",3.0,1.0,,testing,
20,ex2_ch1_g0_police_officer_A_TI,chain1,0,police officer,A,Transmission + Interaction,s21,person,"Frown+1hPoint.Knock<right>,1hBadge<left>, 1hPoint.Knock<right>,2hHat,1hKnock<right>,1hFist",6.0,1.0,,testing,
21,ex2_ch1_g0_prison_A_TI,chain1,0,prison,A,Transmission + Interaction,s22,loc,"1hPalm<rightleft>,2hHoldBars,look,2hHoldBars<shake>",4.0,1.0,,testing,
22,ex2_ch1_g0_handcuffs_A_TI,chain1,0,handcuffs,A,Transmission + Interaction,s23,obj,2hFists.wristsX<hold>,1.0,0.0,,testing,
23,ex2_ch1_g0_to_make_an_arrest_B_TI,chain1,0,to make an arrest,B,Transmission + Interaction,s48,act,"Cry+2hFists.wristsTogether<out>,2hFists.wristsTogether<in>",2.0,1.0,,testing,
24,ex2_ch1_g1_concert_hall_A_TI,chain1,1,concert hall,A,Transmission + Interaction,full1,loc,"2hBox<full>,2hSing<left>,2hViolin<play>",3.0,0.0,5.94124,testing,1.0
25,ex2_ch1_g1_handcuffs_A_TI,chain1,1,handcuffs,A,Transmission + Interaction,full1,obj,"2hFists.wristsX,2hFists.wristsX",2.0,1.0,1.807539,testing,1.0
26,ex2_ch1_g1_to_make_an_arrest_A_TI,chain1,1,to make an arrest,A,Transmission + Interaction,full1,act,"1hknock,1hknock<hold>,2hFists.wristsX,1hpoint<away-left>,2hFists.wristsX,1hpoint<away-left>",6.0,3.0,4.424938,testing,1.0
27,ex2_ch1_g1_to_cook_A_TI,chain1,1,to cook,A,Transmission + Interaction,full1,act,"2hHoldPan<shake>,(1hHoldPan<shake>,1hPour)",3.0,0.0,3.45926,testing,1.0
28,ex2_ch1_g1_vicar_A_TI,chain1,1,vicar,A,Transmission + Interaction,full1,person,"1hCollar<rightleft-leftright>,2hPray,1hCollar<rightleft-leftright>,2hPray",4.0,2.0,3.794709,testing,1.0
29,ex2_ch1_g1_hair_salon_A_TI,chain1,1,hair salon,A,Transmission + Interaction,full1,loc,"2hBox<full>,1hScissors-Hair<right>,2hFluff,1hScissors-Hair<right>,2hBox<full>",5.0,2.0,5.392446,testing,1.0
30,ex2_ch1_g1_hairdresser_A_TI,chain1,1,hairdresser,A,Transmission + Interaction,full1,person,"2hPointSelf<self-repeated>,2hScissors-HoldHair<left>,2hPointSelf<self-repeated>,2hScissors-HoldHair<rightcentre>,2hFluff,2hPointSelf<self-repeated>,1hScissors-HoldHair<left>",7.0,3.0,7.890479,testing,0.0
31,ex2_ch1_g1_photographer_A_TI,chain1,1,photographer,A,Transmission + Interaction,full1,person,"1hPointSelf<self-repeated>,2hCamera<asymm-pressRepeated*3>,(1hPointSelf<self-repeated>,1hThumbSelf<self>,1hC)",5.0,1.0,3.730174,testing,1.0
32,ex2_ch1_g1_police_officer_A_TI,chain1,1,police officer,A,Transmission + Interaction,full1,person,"1hknock<hold>,1hknock,(1hBadge<hold>,1hknock)",4.0,2.0,2.457203,testing,1.0
33,ex2_ch1_g1_chef_A_TI,chain1,1,chef,A,Transmission + Interaction,full1,person,"2hMustache,2hHat",2.0,0.0,1.735871,testing,1.0
34,ex2_ch1_g1_darkroom_A_TI,chain1,1,darkroom,A,Transmission + Interaction,full1,loc,"Squint+2hPalmUp.Feel<centreright>,2hPalm.Feel",2.0,0.0,4.332181,testing,1.0
35,ex2_ch1_g1_to_take_a_photo_A_TI,chain1,1,to take a photo,A,Transmission + Interaction,full1,act,2hCamera<asymm-1Press>,1.0,0.0,3.023833,testing,1.0
36,ex2_ch1_g1_to_give_a_haircut_A_TI,chain1,1,to give a haircut,A,Transmission + Interaction,full1,act,"2hPointSelf<self>,2hpoint<away>,2hScissors-HoldHair<left>,2hScissors-HoldHair<left>",4.0,1.0,5.818096,testing,0.0
37,ex2_ch1_g1_frying_pan_A_TI,chain1,1,frying pan,A,Transmission + Interaction,full1,obj,"1hHoldPan<shake>,(1hHoldPan<hold>,1hPointatObj<atObj>),1hHoldPan<shake>",4.0,2.0,3.323851,testing,0.0
38,ex2_ch1_g1_singer_A_TI,chain1,1,singer,A,Transmission + Interaction,full1,person,"2hPointSelf<self>,2hSing<left>,2hSing<left>,(1hPointSelf<self>,1hSing<left-hold>),2hSing<left>",6.0,2.0,4.51636,testing,1.0
39,ex2_ch1_g1_church_A_TI,chain1,1,church,A,Transmission + Interaction,full1,loc,"2hBuilding.Outline,1hCross,2hPray,2hBuilding.Outline",4.0,1.0,5.463436,testing,1.0
40,ex2_ch1_g1_to_preach_A_TI,chain1,1,to preach,A,Transmission + Interaction,full1,act,"2hFingerWag<right-repeated>,2hFingerWag<rightcentre-repeated>",2.0,1.0,2.043446,testing,1.0
41,ex2_ch1_g1_camera_A_TI,chain1,1,camera,A,Transmission + Interaction,full1,obj,2hCamera,1.0,0.0,0.295363,testing,0.0
42,ex2_ch1_g1_scissors_A_TI,chain1,1,scissors,A,Transmission + Interaction,full1,obj,1hScissors<rightleft>,1.0,0.0,1.666837,testing,1.0
43,ex2_ch1_g1_restaurant_A_TI,chain1,1,restaurant,A,Transmission + Interaction,full1,loc,"2hOpenBook,2hOpenBook,look<right>,2hOpenBook,2hDine",5.0,2.0,3.949286,testing,1.0
44,ex2_ch1_g1_bible_A_TI,chain1,1,bible,A,Transmission + Interaction,full1,obj,"2hOpenBook,read<left-right>,2hPray,2hOpenBook,2hRead<left>",5.0,1.0,3.166112,testing,1.0
45,ex2_ch1_g1_to_sing_A_TI,chain1,1,to sing,A,Transmission + Interaction,full1,act,"2hSing<left>,2hSing",2.0,1.0,2.326006,testing,1.0
46,ex2_ch1_g1_prison_A_TI,chain1,1,prison,A,Transmission + Interaction,full1,loc,1hPalm<rightleft>,1.0,0.0,1.793096,testing,1.0
47,ex2_ch1_g1_microphone_A_TI,chain1,1,microphone,A,Transmission + Interaction,full1,obj,"Sing+1hMicrophone<hold>,1hPointatObj<atObj>",2.0,0.0,1.772033,testing,1.0
48,ex2_ch1_g1_concert_hall_B_TI,chain1,1,concert hall,B,Transmission + Interaction,full2,loc,"2hBox<full>,1hSpace<rightleft>,2hSing<left>",3.0,0.0,4.230252,testing,1.0
49,ex2_ch1_g1_church_B_TI,chain1,1,church,B,Transmission + Interaction,full2,loc,"Look,1hBox,1hCollar<rightleft>",3.0,0.0,4.666544,testing,0.0
50,ex2_ch1_g1_police_officer_B_TI,chain1,1,police officer,B,Transmission + Interaction,full2,person,"1hKnock<left>,1hBadge<right>,1hKnock<left>",3.0,1.0,3.587625,testing,1.0
51,ex2_ch1_g1_to_preach_B_TI,chain1,1,to preach,B,Transmission + Interaction,full2,act,1hFingerWag<left-repeated>,1.0,0.0,2.894618,testing,1.0
52,ex2_ch1_g1_to_take_a_photo_B_TI,chain1,1,to take a photo,B,Transmission + Interaction,full2,act,Wink+2hCamera<asymm-1Press>,1.0,0.0,3.427156,testing,1.0
53,ex2_ch1_g1_prison_B_TI,chain1,1,prison,B,Transmission + Interaction,full2,loc,1hPalm<leftright>,1.0,0.0,1.67799,testing,1.0
54,ex2_ch1_g1_darkroom_B_TI,chain1,1,darkroom,B,Transmission + Interaction,full2,loc,"Squint+1hPalm<right>,1hPalm<rightleft>",2.0,1.0,6.39331,testing,1.0
55,ex2_ch1_g1_hairdresser_B_TI,chain1,1,hairdresser,B,Transmission + Interaction,full2,person,"1hThumbSelf<self-repeated>,2hScissors-HoldHair<right>",2.0,0.0,3.3686,testing,1.0
56,ex2_ch1_g1_handcuffs_B_TI,chain1,1,handcuffs,B,Transmission + Interaction,full2,obj,2hFists.wristsX,1.0,0.0,1.167786,testing,1.0
57,ex2_ch1_g1_chef_B_TI,chain1,1,chef,B,Transmission + Interaction,full2,person,2hMustache,1.0,0.0,1.423551,testing,1.0
58,ex2_ch1_g1_to_give_a_haircut_B_TI,chain1,1,to give a haircut,B,Transmission + Interaction,full2,act,"2hScissors-HoldHair<left>,2hScissors-HoldHair<right>",2.0,1.0,5.487053,testing,1.0
59,ex2_ch1_g1_photographer_B_TI,chain1,1,photographer,B,Transmission + Interaction,full2,person,"1hThumbSelf<self-repeated>,Wink+2hCamera<asymm-1Press>",2.0,0.0,2.642937,testing,1.0
60,ex2_ch1_g1_camera_B_TI,chain1,1,camera,B,Transmission + Interaction,full2,obj,"Look+2hCamera<asymm-1hPress>,2hLens",2.0,0.0,2.2828,testing,1.0
61,ex2_ch1_g1_to_make_an_arrest_B_TI,chain1,1,to make an arrest,B,Transmission + Interaction,full2,act,"1hKnock<left>,1hBadge<right>,2hFists.wristsX",3.0,0.0,4.384479,testing,1.0
62,ex2_ch1_g1_to_sing_B_TI,chain1,1,to sing,B,Transmission + Interaction,full2,act,1hSing<left>,1.0,0.0,3.182319,testing,0.0
63,ex2_ch1_g1_hair_salon_B_TI,chain1,1,hair salon,B,Transmission + Interaction,full2,loc,"1hPoint.Box<full>,2hScissors-HoldHair<right>",2.0,0.0,3.637929,testing,1.0
64,ex2_ch1_g1_scissors_B_TI,chain1,1,scissors,B,Transmission + Interaction,full2,obj,1hScissors<rightleft>,1.0,0.0,1.886078,testing,1.0
