matrix_idx,gesture_id,chain,generation,target,director,condition,participant,ent_type,code_string,code_len,num_reps,vid_len,phase,acc
0,ex1_ch1_g0_chef_B_TI,chain1,0,chef,B,Transmission + Interaction,s25,person,"2hMustache,2hHat,1hHoldPan<shake>,2hHoldPan<shake>*2,1hPour<left>",5.0,0.0,,testing,
1,ex1_ch1_g0_restaurant_B_TI,chain1,0,restaurant,B,Transmission + Interaction,s26,loc,"2hOpenBook,(1hPalm,1hPointatObj<atObj>)+look+nod, 2hDine",4.0,0.0,,testing,
2,ex1_ch1_g0_frying_pan_A_TI,chain1,0,frying pan,A,Transmission + Interaction,s3,obj,"2hPan.Outline,2hHoldPan<shake>,(1hHoldPan<shake>,1hStir),2hHoldPan<toss>,2hHoldPan<toss>",6.0,2.0,,testing,
3,ex1_ch1_g0_to_cook_A_TI,chain1,0,to cook,A,Transmission + Interaction,s4,act,"2hBowl-Mix,1hPour<left>,1hPour<right>,2hBowl-Mix,2hPush,2hPull",6.0,2.0,,testing,
4,ex1_ch1_g0_vicar_A_TI,chain1,0,vicar,A,Transmission + Interaction,s5,person,"2hPray,1hCollar,2hPray,nod",4.0,1.0,,testing,
5,ex1_ch1_g0_church_A_TI,chain1,0,church,A,Transmission + Interaction,s6,loc,2hPray+bow,1.0,0.0,,testing,
6,ex1_ch1_g0_bible_B_TI,chain1,0,bible,B,Transmission + Interaction,s31,obj,"2hTurnPage<repeated>,(1hPalm,1hPointatObj<atObj>),2hPray",4.0,0.0,,testing,
7,ex1_ch1_g0_to_preach_A_TI,chain1,0,to preach,A,Transmission + Interaction,s8,act,"1hFingerWag<right,repeated>",2.0,0.0,,testing,
8,ex1_ch1_g0_photographer_A_TI,chain1,0,photographer,A,Transmission + Interaction,s9,person,"1hThumbSelf<self-repeated>,Wink+2hCamera<asymm,1Press>",3.0,0.0,,testing,
9,ex1_ch1_g0_darkroom_B_TI,chain1,0,darkroom,B,Transmission + Interaction,s34,loc,"Look+1hSee,all,2hPalm.Feel<left+right>",3.0,0.0,,testing,
10,ex1_ch1_g0_camera_B_TI,chain1,0,camera,B,Transmission + Interaction,s35,obj,"2hCamera<symm,pressRepeated*4>,2hCamera,2hLens<twist,repeated>",5.0,1.0,,testing,
11,ex1_ch1_g0_to_take_a_photo_A_TI,chain1,0,to take a photo,A,Transmission + Interaction,s12,act,"2hCamera<asymm,1Press>",2.0,0.0,,testing,
12,ex1_ch1_g0_singer_A_TI,chain1,0,singer,A,Transmission + Interaction,s13,person,"1hSing<right>,1hSing<right>",2.0,1.0,,testing,
13,ex1_ch1_g0_concert_hall_B_TI,chain1,0,concert hall,B,Transmission + Interaction,s38,loc,"2hBox,2hSpace,2hSing,2hViolin<play>,2hSpace",5.0,1.0,,testing,
14,ex1_ch1_g0_microphone_A_TI,chain1,0,microphone,A,Transmission + Interaction,s15,obj,"Sing+1hMicrophone<hold>,(1hMicrophone<hold>,1hPointatObj<atObj>)",3.0,1.0,,testing,
15,ex1_ch1_g0_to_sing_A_TI,chain1,0,to sing,A,Transmission + Interaction,s16,act,1hSing,1.0,0.0,,testing,
16,ex1_ch1_g0_hairdresser_A_TI,chain1,0,hairdresser,A,Transmission + Interaction,s17,person,"1hScissors-Hair<left,repeated>,1hScissors-Hair<beard>,1hScissors-Hair<right>",4.0,2.0,,testing,
17,ex1_ch1_g0_hair_salon_B_TI,chain1,0,hair salon,B,Transmission + Interaction,s42,loc,"2hScissors-HoldHair<left>,2hFluff,2hHair.Feel",3.0,0.0,,testing,
18,ex1_ch1_g0_scissors_B_TI,chain1,0,scissors,B,Transmission + Interaction,s43,obj,"1hScissors<rightleft>,1hScissors<hold>",2.0,1.0,,testing,
19,ex1_ch1_g0_to_give_a_haircut_A_TI,chain1,0,to give a haircut,A,Transmission + Interaction,s20,act,"1hScissors,2hScissors-HoldHair<left>,2hScissors-HoldHair<left>*2",3.0,1.0,,testing,
20,ex1_ch1_g0_police_officer_A_TI,chain1,0,police officer,A,Transmission + Interaction,s21,person,"Frown+1hPoint.Knock<right>,1hBadge<left>, 1hPoint.Knock<right>,2hHat,1hKnock<right>,1hFist",6.0,1.0,,testing,
21,ex1_ch1_g0_prison_A_TI,chain1,0,prison,A,Transmission + Interaction,s22,loc,"1hPalm<rightleft>,2hHoldBars,look,2hHoldBars<shake>",4.0,1.0,,testing,
22,ex1_ch1_g0_handcuffs_A_TI,chain1,0,handcuffs,A,Transmission + Interaction,s23,obj,2hFists.wristsX<hold>,1.0,0.0,,testing,
23,ex1_ch1_g0_to_make_an_arrest_B_TI,chain1,0,to make an arrest,B,Transmission + Interaction,s48,act,"Cry+2hFists.wristsTogether<out>,2hFists.wristsTogether<in>",2.0,1.0,,testing,
24,ex1_ch1_g1_concert_hall_A_TI,chain1,1,concert hall,A,Transmission + Interaction,full1,loc,"2hBox<full>,2hSing<left>,2hViolin<play>",3.0,0.0,5.94124,testing,1.0
25,ex1_ch1_g1_handcuffs_A_TI,chain1,1,handcuffs,A,Transmission + Interaction,full1,obj,"2hFists.wristsX,2hFists.wristsX",2.0,1.0,1.807539,testing,1.0
26,ex1_ch1_g1_to_make_an_arrest_A_TI,chain1,1,to make an arrest,A,Transmission + Interaction,full1,act,"1hknock,1hknock<hold>,2hFists.wristsX,1hpoint<away-left>,2hFists.wristsX,1hpoint<away-left>",6.0,3.0,4.424938,testing,1.0
27,ex1_ch1_g1_to_cook_A_TI,chain1,1,to cook,A,Transmission + Interaction,full1,act,"2hHoldPan<shake>,(1hHoldPan<shake>,1hPour)",3.0,0.0,3.45926,testing,1.0
28,ex1_ch1_g1_vicar_A_TI,chain1,1,vicar,A,Transmission + Interaction,full1,person,"1hCollar<rightleft-leftright>,2hPray,1hCollar<rightleft-leftright>,2hPray",4.0,2.0,3.794709,testing,1.0
29,ex1_ch1_g1_hair_salon_A_TI,chain1,1,hair salon,A,Transmission + Interaction,full1,loc,"2hBox<full>,1hScissors-Hair<right>,2hFluff,1hScissors-Hair<right>,2hBox<full>",5.0,2.0,5.392446,testing,1.0
30,ex1_ch1_g1_hairdresser_A_TI,chain1,1,hairdresser,A,Transmission + Interaction,full1,person,"2hPointSelf<self-repeated>,2hScissors-HoldHair<left>,2hPointSelf<self-repeated>,2hScissors-HoldHair<rightcentre>,2hFluff,2hPointSelf<self-repeated>,1hScissors-HoldHair<left>",7.0,3.0,7.890479,testing,0.0
31,ex1_ch1_g1_photographer_A_TI,chain1,1,photographer,A,Transmission + Interaction,full1,person,"1hPointSelf<self-repeated>,2hCamera<asymm-pressRepeated*3>,(1hPointSelf<self-repeated>,1hThumbSelf<self>,1hC)",5.0,1.0,3.730174,testing,1.0
32,ex1_ch1_g1_police_officer_A_TI,chain1,1,police officer,A,Transmission + Interaction,full1,person,"1hknock<hold>,1hknock,(1hBadge<hold>,1hknock)",4.0,2.0,2.457203,testing,1.0
33,ex1_ch1_g1_chef_A_TI,chain1,1,chef,A,Transmission + Interaction,full1,person,"2hMustache,2hHat",2.0,0.0,1.735871,testing,1.0
34,ex1_ch1_g1_darkroom_A_TI,chain1,1,darkroom,A,Transmission + Interaction,full1,loc,"Squint+2hPalmUp.Feel<centreright>,2hPalm.Feel",2.0,0.0,4.332181,testing,1.0
35,ex1_ch1_g1_to_take_a_photo_A_TI,chain1,1,to take a photo,A,Transmission + Interaction,full1,act,2hCamera<asymm-1Press>,1.0,0.0,3.023833,testing,1.0
36,ex1_ch1_g1_to_give_a_haircut_A_TI,chain1,1,to give a haircut,A,Transmission + Interaction,full1,act,"2hPointSelf<self>,2hpoint<away>,2hScissors-HoldHair<left>,2hScissors-HoldHair<left>",4.0,1.0,5.818096,testing,0.0
37,ex1_ch1_g1_frying_pan_A_TI,chain1,1,frying pan,A,Transmission + Interaction,full1,obj,"1hHoldPan<shake>,(1hHoldPan<hold>,1hPointatObj<atObj>),1hHoldPan<shake>",4.0,2.0,3.323851,testing,0.0
38,ex1_ch1_g1_singer_A_TI,chain1,1,singer,A,Transmission + Interaction,full1,person,"2hPointSelf<self>,2hSing<left>,2hSing<left>,(1hPointSelf<self>,1hSing<left-hold>),2hSing<left>",6.0,2.0,4.51636,testing,1.0
39,ex1_ch1_g1_church_A_TI,chain1,1,church,A,Transmission + Interaction,full1,loc,"2hBuilding.Outline,1hCross,2hPray,2hBuilding.Outline",4.0,1.0,5.463436,testing,1.0
