pair,comparison_id,average_distance,left_thumb,right_thumb,left_index,right_index,left_middle,right_middle,left_ring,right_ring,left_pinky,right_pinky,left_wrist,right_wrist,left_right_thumb,left_right_index,left_right_middle,left_right_ring,left_right_pinky,left_right_wrist,right_left_thumb,right_left_index,right_left_middle,right_left_ring,right_left_pinky,right_left_wrist,referent,speaker_1,round_1,trial_1,director_1,target_1,accuracy_1,A_gesture_referent_1,B_gesture_referent_1,A_gesture_referent2_1,B_gesture_referent2_1,begin_time_1,end_time_1,duration_1,speaker_2,round_2,trial_2,director_2,target_2,accuracy_2,A_gesture_referent_2,B_gesture_referent_2,A_gesture_referent2_2,B_gesture_referent2_2,begin_time_2,end_time_2,duration_2,A_speech_1,B_speech_1,A_speech_eng_1,B_speech_eng_1,A_LH_gesture_referent_1,A_RH_gesture_referent_1,B_LH_gesture_referent_1,B_RH_gesture_referent_1,iconic_1,A_speech_2,B_speech_2,A_speech_eng_2,B_speech_eng_2,A_LH_gesture_referent_2,A_RH_gesture_referent_2,B_LH_gesture_referent_2,B_RH_gesture_referent_2,iconic_2,begin_time_1_adj,end_time_1_adj,duration_1_adj,begin_time_2_adj,end_time_2_adj,duration_2_adj,A_hands,B_hands,hands_dtw
001,1,0.05148713115261347,0.016513982586180653,0.053838569690340565,0.01185852100322928,0.027891454097580672,0.01668734415567425,0.024529598369820264,0.03319497597321418,0.027900652122948254,0.04316095804380782,0.04129210899495622,0.1797031706285095,0.14127423816509993,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,09B,A,1.0,1_1,A,9.0,,09B,,,,23522,23862,340,B,2.0,2_2,B,9.0,,,09B,,,585720,586200,480,En dat is een soort van ja (staand) iets waar die op staat,,And that's kind of a yes (standing) something that it's standing on,,09B,09B,,,True,,En onderop staat die op een eh soort langwerpige balk.,,And at the bottom it's on an um kind of oblong bar.,,,09B,09B,True,23522.0,23862.0,340.0,585720.0,586200.0,480.0,both,both,both
001,2,0.13067475741817336,0.18811383543857627,0.09007112036222113,0.08745554356904368,0.10076311928526914,0.11160742043191253,0.07634276710304086,0.09555655156263636,0.07120214621981023,0.07878332972426136,0.07199789500783536,0.24232172118253661,0.353881639130937,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,09A,A,1.0,1_1,A,9.0,,09A,,,,28261,28921,660,B,2.0,2_2,B,9.0,,,09A,,,577893,578153,260,"Dan lijkt het alsof hij geroerd word, omdat er een ja pinnetje op zit",,"Then it looks like it is being stirred, because there is a yes pin on it",,09A,09A,,,True,,En dan zo heb je de lepel in het glas en dan nog een eh uitsteeksel,,And then so you have the spoon in the glass and then another um protrusion,,,,09A,True,28261.0,28921.0,660.0,577858.0,578188.0,330.0,both,right,both
001,3,0.11303848220434895,0.11181406404381078,0.04339860134041917,0.1298033616174285,0.06232391085456087,0.12415742890050932,0.09774133996861814,0.06517682452213393,0.12236225599082948,0.04769762846164977,0.1114950465060627,0.04938562009811936,0.39110570414804524,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,06B,B,1.0,1_2,B,6.0,,,06B,,,62023,62423,400,A,1.0,1_2,B,6.0,,06B,,,,88685,89085,400,,Ehm het lijkt alsof die een arm heeft.,,Um it looks like that one has an arm.,,,,06B,True,"Ja en ja de de het armpje is het cirkeltje, het bolletje zeg maar.",,"Yes and yes the the the little arm is the little circle, the little ball so to speak.",,06B-REP,06B-REP,,,True,62023.0,62423.0,400.0,88685.0,89085.0,400.0,both,right,both
001,4,0.10439622583038088,0.11714689989666889,0.12760581131124618,0.03734458125339492,0.09567696444321559,0.04015334195822014,0.10236364399279645,0.041187255966367346,0.11065183777523119,0.03410557858229246,0.11761239890768477,0.10659708137070796,0.3223093145067447,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,06D,B,1.0,1_2,B,6.0,,,06D,,,63661,63991,330,A,1.0,1_2,B,6.0,,06D,,,,79567,80047,480,,En in die arm zit een een eh langwerpige balk.,,And in that arm is a one um oblong bar.,,,,06D-REP,True,"Ehm ja, die z-zit hij door die arm heen?",,"Um yeah, that z-she's through that arm?",,06D,06D,,,True,63661.0,63991.0,330.0,79567.0,80047.0,480.0,both,right,both
001,5,0.27640632339292365,nan,0.24272705270757272,nan,0.38019916111073326,nan,0.31621966480514807,nan,0.30805801558736284,nan,0.2950144087597074,nan,0.11621963738701749,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,06C,B,1.0,1_2,B,6.0,,,06C,,,67671,68071,400,A,2.0,2_9,A,6.0,,06C,,,,684606,685166,560,,En aan de voorkant van die balk zit een cirkel.,,And at the front of that beam is a circle.,,,,06C,True,Ehm dit is weer die ene met dat armpje met die met die (bout) erdoorheen en een cirkel aan de achterkant.,,Um this is the one again with that little arm with the one with the (bolt) through it and a circle on the back.,,,06C,,,True,67671.0,68071.0,400.0,684606.0,685166.0,560.0,right,right,right
001,6,0.1526608070071382,0.13798889780110768,0.09341568711954693,0.13432737378282933,0.1681753975013028,0.1357613821843642,0.21077968308680103,0.11843439454999312,0.20865868814734312,0.09438512493985923,0.18291726264456604,0.07707582959454387,0.27000996273340083,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,06B,A,1.0,1_2,B,6.0,,06B,,,,88685,89085,400,B,3.0,3_12,B,6.0,,,06B,,,865657,866957,1300,"Ja en ja de de het armpje is het cirkeltje, het bolletje zeg maar.",,"Yes and yes the the the little arm is the little circle, the little ball so to speak.",,06B-REP,06B-REP,,,True,,"Dit is degene eh die de balk vast heeft,",,"This is the one eh holding the beam,",,,,06B,True,88685.0,89085.0,400.0,865657.0,866957.0,1300.0,both,right,both
001,7,0.1515545646278002,0.2517835412415976,0.10955978448852363,0.14768773766340765,0.12711162854663574,0.14354691416910192,0.1343422607176324,0.14754986558270664,0.10630521719037866,0.1452216037805752,0.08038481769380204,0.32128510827042617,0.10387629618881469,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15C,A,1.0,1_3,A,15.0,,15C,,,,109461,110021,560,B,4.0,4_2,B,15.0,,,15C,,,923261,923541,280,"Eh het lijkt alsof hij drijft, omdat er zeg maar een plaat op de helft van dat dingetje zit",,"Um it looks like it floats, because there is, say, a plate on half of that thingy",,15C-REP,15C-REP,,,True,,Ik heb met de glijbaan die drijft.,,I have with the slide that floats.,,,,15C,True,109461.0,110021.0,560.0,923236.0,923566.0,330.0,both,right,both
001,8,0.18530137772714542,0.16303368602390114,0.10410506441772555,0.18133631367469955,0.0842274646573139,0.18227108754921706,0.08808606484978673,0.18599719940908585,0.09539316065365115,0.18114237268981395,0.09646078839030708,0.31537774923876694,0.5461855811714763,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14D,B,1.0,1_4,B,14.0,,,14D,,,131201,131541,340,A,1.0,1_4,B,14.0,,14D,,14B,,142326,143486,1160,,Een soort cilinders met een klein hoekje aan de linkerkant.,,Sort of cylinders with a small corner on the left side.,,,14D,,True,"Ja, ja, ja en die cilinders hebben zo een soort van kronkeltje lijkt het",,"Yes, yes, yes and those cylinders have this kind of twist it seems",,14B,14D,,,True,131201.0,131541.0,340.0,142326.0,143486.0,1160.0,both,left,both
001,9,0.19997579417347014,0.13415637327586696,0.32078411608534374,0.13262274652778092,0.265735483955637,0.13273177906836367,0.1712164346197702,0.17980505376531047,0.10642550809823652,0.2512425483913741,0.07827283850648162,0.36929626401212495,0.3945938367928766,0.195015501883524,0.29935869930864634,0.29526196722504794,0.2682997114941574,0.23138045452545494,0.7657623916737925,0.2376042879398001,0.29273895223101654,0.2855323603242168,0.26024240748917987,0.2209657789811506,0.7262481767020079,14C,B,1.0,1_4,B,14.0,,,14C,,,133136,134256,1120,A,2.0,2_1,A,14.0,,14C,,,,548343,548643,300,,En één lange ehm rechtopstaande balk voorop.,,And one long um upright beam in front.,,,,14C-REP,True,"en een ehm eh rechthoekige, ja, rechthoeke, rek- rechthoekige balk",,"and a um um rectangular, yes, rectangular, stretch rectangular beam",,14C,,,,True,133136.0,134256.0,1120.0,548328.0,548658.0,330.0,left,right,left_right
001,10,0.16314378608387323,0.07906118064986949,0.14771623323242747,0.1689444731940654,0.1872779249265663,0.18069645304669021,0.21703153157903204,0.16301429868796666,0.2265656310601249,0.13327152001356715,0.19583998360725036,0.18115465077296786,0.07715155223595062,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13D,A,1.0,1_5,A,13.0,,13D,,,,151001,151621,620,B,2.0,2_10,B,13.0,,,13D,,,694535,694915,380,"OkÃ©, deze die heeft een heel groot vlak aan de onderkant met t- twee armen met allemaal bolletjes",,"Okay, this one which has a very large plane at the bottom with t- two arms with all the little balls",,13D,13D,,,True,,Eh dit is degene die eh op het plateautje staat,,Um this is the one that is eh on the tray,,,13D,13D,True,151001.0,151621.0,620.0,694535.0,694915.0,380.0,both,both,both
