comparison_id,pair,referent,hands_dtw,A_hands,B_hands,average_distance,average_distance_xyz,left_wrist,right_wrist,left_thumb,right_thumb,left_index,right_index,left_middle,right_middle,left_ring,right_ring,left_pinky,right_pinky,left_right_index,right_left_index,average_size,size_A,left_size_A,right_size_A,size_B,left_size_B,right_size_B,location,handshape,orientation,movement,sim_notes,speaker_1,round_1,director_1,target_1,accuracy_1,begin_time_1_adj,end_time_1_adj,duration_1_adj,iconic_1,A_LH_gesture_referent_1,A_RH_gesture_referent_1,B_LH_gesture_referent_1,B_RH_gesture_referent_1,A_speech_eng_1,B_speech_eng_1,speaker_2,round_2,director_2,target_2,accuracy_2,begin_time_2_adj,end_time_2_adj,duration_2_adj,iconic_2,A_LH_gesture_referent_2,A_RH_gesture_referent_2,B_LH_gesture_referent_2,B_RH_gesture_referent_2,A_speech_eng_2,B_speech_eng_2
1,1,09B,both,both,both,0.0892721980144241,0.0917646881861999,0.2355773588281108,0.1898387246819468,0.0349574648847786,0.0967610973072275,0.0205308858580346,0.0797772486278059,0.0380125620318822,0.085749186710947,0.0545409725479448,0.0823097145819336,0.072929430828267,0.0802817292842104,,,0.0934181920645936,0.0603068312071453,0.0746266338860704,0.0459870285282202,0.1265295529220419,0.1456759830186486,0.1073831228254351,,,,,,A,1.0,A,9.0,,23522.0,23862.0,340.0,True,09B,09B,,,And that's kind of a yes (standing) something that it's standing on,,B,2.0,B,9.0,,585720.0,586200.0,480.0,True,,,09B,09B,,And at the bottom it's on an um kind of oblong bar.
2,1,09A,both,both,right,0.1708782370813034,0.1734808661640729,0.2497867295280458,0.5280646042453274,0.2507860916426646,0.1465067481169089,0.1014172407365703,0.1387870195272453,0.1291795489117941,0.1033284778146811,0.1099989231830973,0.0993055675717458,0.0901182406541322,0.103259653043428,,,0.2209979751863292,0.354245477721808,0.3479802146006686,0.3605107408429475,0.0877504726508503,0.0138621689517634,0.1616387763499373,,,,,,A,1.0,A,9.0,,28261.0,28921.0,660.0,True,09A,09A,,,"Then it looks like it is being stirred, because there is a yes pin on it",,B,2.0,B,9.0,,577858.0,578188.0,330.0,True,,,,09A,,And then so you have the spoon in the glass and then another um protrusion
3,1,06B,both,both,right,0.154479560102079,0.1608728020520528,0.0735075334042638,0.4913681255282309,0.1566116671256588,0.0803455631265483,0.2026612454171585,0.0546764173947927,0.1822104148092788,0.1236305547575164,0.118397435358548,0.142660685756548,0.086187513630794,0.1414975649156103,,,0.0813361813358951,0.0519038525725146,0.0320705711100352,0.0717371340349939,0.1107685100992757,0.0219633390826958,0.1995736811158556,,,,,,B,1.0,B,6.0,,62023.0,62423.0,400.0,True,,,,06B,,Um it looks like that one has an arm.,A,1.0,B,6.0,,88685.0,89085.0,400.0,True,06B-REP,06B-REP,,,"Yes and yes the the the little arm is the little circle, the little ball so to speak.",
4,1,06D,both,both,right,0.1539645276582546,0.1583441025047264,0.2757507766667014,0.4268408086960918,0.1961146004900526,0.1781808704560603,0.0564317165367547,0.10936322156665,0.0707829357089381,0.115715252874675,0.0787902733922035,0.1286590043627426,0.0718126474867309,0.1391322236614541,,,0.2723224099583392,0.453731059958973,0.661256531539063,0.2462055883788829,0.0909137599577053,0.0234858232623238,0.1583416966530867,,,,,,B,1.0,B,6.0,,63661.0,63991.0,330.0,True,,,,06D-REP,,And in that arm is a one um oblong bar.,A,1.0,B,6.0,,79567.0,80047.0,480.0,True,06D,06D,,,"Um yeah, that z-she's through that arm?",
5,1,06C,right,right,right,0.4172797531023942,0.4223662684559219,,0.1508811957385291,,0.3699932479387255,,0.5702188039277047,,0.4969004510362902,,0.4738841574601872,,0.4418006625129285,,,0.1434813706776432,0.1695522225621513,0.0169487733053785,0.322155671818924,0.1174105187931352,0.0204612204411534,0.2143598171451169,,,,,,B,1.0,B,6.0,,67671.0,68071.0,400.0,True,,,,06C,,And at the front of that beam is a circle.,A,2.0,A,6.0,,684606.0,685166.0,560.0,True,,06C,,,Um this is the one again with that little arm with the one with the (bolt) through it and a circle on the back.,
6,1,06B,both,both,right,0.1760719866128721,0.1841194780992869,0.1202032047341389,0.3826779050091606,0.1583665683064659,0.1137025237908454,0.1444500056587903,0.1964413697258867,0.1356018915947329,0.2509476967453041,0.0632213943977559,0.2658858649664593,0.0352052054209497,0.246160209003976,,,0.0518263200037542,0.0519038525725146,0.0320705711100352,0.0717371340349939,0.0517487874349938,0.0339580240962954,0.0695395507736923,,,,,,A,1.0,B,6.0,,88685.0,89085.0,400.0,True,06B-REP,06B-REP,,,"Yes and yes the the the little arm is the little circle, the little ball so to speak.",,B,3.0,B,6.0,,865657.0,866957.0,1300.0,True,,,,06B,,"This is the one eh holding the beam,"
7,1,15C,both,both,right,0.2005818388448321,0.2038078392964836,0.4463376317513862,0.1692797358789316,0.3328978206930523,0.1566491243490026,0.1582224170532454,0.1695271575077435,0.1649366986045061,0.1807914881478871,0.1702706161836369,0.1576707649845356,0.165180323943969,0.1352182870400891,,,0.201319121348061,0.2187734127190679,0.2234505971400546,0.2140962282980813,0.183864829977054,0.0565904039335079,0.3111392560206,,,,,,A,1.0,A,15.0,,109461.0,110021.0,560.0,True,15C-REP,15C-REP,,,"Um it looks like it floats, because there is, say, a plate on half of that thingy",,B,4.0,B,15.0,,923236.0,923566.0,330.0,True,,,,15C,,I have with the slide that floats.
8,1,14D,both,both,left,0.1772946520401004,0.1841077407346946,0.3760126376131754,0.6893067700151839,0.0577995144224767,0.1267524002345329,0.1205613847270941,0.0661724958008761,0.1530026010298736,0.0610176536201921,0.1711778742666087,0.0685335581531736,0.170604556709474,0.066594377888544,,,0.1212453393048938,0.071845099996398,0.0512587802667334,0.0924314197260627,0.1706455786133896,0.1548045363758856,0.1864866208508936,,,,,,B,1.0,B,14.0,,131201.0,131541.0,340.0,True,,,14D,,,Sort of cylinders with a small corner on the left side.,A,1.0,B,14.0,,142326.0,143486.0,1160.0,True,14B,14D,,,"Yes, yes, yes and those cylinders have this kind of twist it seems",
9,1,14C,left_right,left,right,0.4830714061158322,0.4834251922019225,0.6195160944497354,0.5772726822917078,0.3260187611094016,0.3869770569826043,0.4222340165832435,0.3905479267336093,0.4618572220215702,0.3111333715691419,0.5097143724774175,0.2256696240965877,0.5784838697172059,0.1426461585990767,0.422322191242607,0.3902561137967796,0.222040396907524,0.1071075366965939,0.1704162200596794,0.0437988533335085,0.336973257118454,0.0498203285715139,0.6241261856653941,,,,,,B,1.0,B,14.0,,133136.0,134256.0,1120.0,True,,,,14C-REP,,And one long um upright beam in front.,A,2.0,A,14.0,,548328.0,548658.0,330.0,True,14C,,,,"and a um um rectangular, yes, rectangular, stretch rectangular beam",
10,1,13D,both,both,both,0.2058038991496256,0.2075834878341511,0.2346428728197863,0.0856758537299866,0.0969516632644638,0.2165474204216416,0.1908811449193144,0.2344200736349807,0.2036339871160155,0.2789751660957607,0.1925849520891737,0.2975740590021333,0.1691155358345467,0.2686440608677038,,,0.2849421784265257,0.3292003084819865,0.3620524043927048,0.2963482125712681,0.240684048371065,0.2199604185852821,0.2614076781568478,,,,,,A,1.0,A,13.0,,151001.0,151621.0,620.0,True,13D,13D,,,"Okay, this one which has a very large plane at the bottom with t- two arms with all the little balls",,B,2.0,B,13.0,,694535.0,694915.0,380.0,True,,,13D,13D,,Um this is the one that is eh on the tray
