comparison_id,pair,referent,hands_dtw,A_hands,B_hands,average_distance,average_distance_xyz,left_wrist,right_wrist,left_thumb,right_thumb,left_index,right_index,left_middle,right_middle,left_ring,right_ring,left_pinky,right_pinky,left_right_index,right_left_index,average_size,size_A,left_size_A,right_size_A,size_B,left_size_B,right_size_B,location,handshape,orientation,movement,sim_notes,speaker_1,round_1,director_1,target_1,accuracy_1,begin_time_1_adj,end_time_1_adj,duration_1_adj,iconic_1,A_LH_gesture_referent_1,A_RH_gesture_referent_1,B_LH_gesture_referent_1,B_RH_gesture_referent_1,A_speech_eng_1,B_speech_eng_1,speaker_2,round_2,director_2,target_2,accuracy_2,begin_time_2_adj,end_time_2_adj,duration_2_adj,iconic_2,A_LH_gesture_referent_2,A_RH_gesture_referent_2,B_LH_gesture_referent_2,B_RH_gesture_referent_2,A_speech_eng_2,B_speech_eng_2
11,1,13A,both,both,both,0.4155608497205398,0.4165162440749337,0.4398129671578514,0.714815144891472,0.3010869467459222,0.4024082221936728,0.3375703862877163,0.439359683213894,0.3548203630909553,0.466950860039409,0.3338538629564614,0.4439940011208174,0.319411904247039,0.4326458547012675,,,0.2543343147931879,0.4071176768594858,0.3961154525253479,0.4181199011936238,0.1015509527268899,0.0888742493875326,0.1142276560662472,,,,,,A,1.0,A,13.0,,153668.0,154228.0,560.0,True,13A,13A,,,"Okay, this one which has a very large plane at the bottom with t- two arms with all the little balls",,B,2.0,B,13.0,,696470.0,696800.0,330.0,True,,,13A-REP,13A-REP,,With the two eh protrusions with spheres.
12,1,16A,both,both,right,0.1680654525206226,0.1776526968639464,0.7110824833308084,0.1446923189642109,0.1942662044396871,0.1654103226520274,0.1641137038529917,0.1270025940302796,0.0999621535737252,0.1034954678879313,0.0656852015811073,0.0939776263504812,0.0707760366565825,0.0763213169276392,,,0.1972405844527333,0.2314916125922764,0.2513578062772302,0.2116254189073226,0.1629895563131901,0.0214685329918097,0.3045105796345706,,,,,,B,1.0,B,16.0,,165805.0,166685.0,880.0,True,,,,16A,,"On top is a kind of oval, say, kind of top of a soup ladle.",A,2.0,A,16.0,,606504.0,606834.0,330.0,True,16A,16C,,,"That's kind of, um, oval that are in there.",
13,1,16D,right,right,right,0.426726753945008,0.431391087295111,,0.7831870903320044,,0.2446290351293314,,0.4512918220561983,,0.432656433032258,,0.3718216561065529,,0.2767744870137032,,,0.2402489259977274,0.1617378796710673,0.3082263481282127,0.015249411213922,0.3187599723243875,0.2547811029928304,0.3827388416559446,,,,,,B,1.0,B,16.0,,178501.0,179161.0,660.0,True,,,,16D,,And on the far left back a kind of um arm.,A,2.0,A,16.0,,615564.0,615924.0,360.0,True,,16D,,,And at the back you have a kind of little arm that's kind of crooked.,
14,1,11A,right,right,right,0.1932839844636921,0.2053193990935574,,0.0705760929829329,,0.0950896857685675,,0.2623668782767155,,0.2841038136966316,,0.2507996975818199,,0.1967677384754853,,,0.0924095862008263,0.071098106076546,0.0719464666747861,0.0702497454783059,0.1137210663251066,0.0127908819994656,0.2146512506507477,,,,,,A,1.0,A,11.0,,208938.0,209298.0,360.0,True,,11A,,,And the other is a flat protrusion,,B,1.0,A,11.0,,251028.0,251588.0,560.0,True,,,,11A,,"Yes, and then there's one next to that - next to that little window. That's kind of an oblong bar, right?"
15,1,11C,both,both,both,0.1806168162539032,0.1888522066705428,0.1284479979488341,0.2795883710831814,0.1480653522356337,0.1606068046566248,0.1519034762320191,0.2118150201986261,0.1746530605854602,0.2115510193317503,0.1790734759825229,0.1968628727473554,0.159310107260912,0.1655242367839176,,,0.2205432676851447,0.3408035601588763,0.3531914265290734,0.3284156937886792,0.100282975211413,0.0802772274919775,0.1202887229308485,,,,,,A,1.0,A,11.0,,233771.0,234397.0,626.0,True,11C,11C,,,"And then on the side is a protrusion and there it looks like, say, a piece of paper folded.",,B,2.0,B,11.0,,649013.0,649773.0,760.0,True,,,11C,11C,,Nose in front and then on the right side the um folded paper.
16,1,08B,both,both,both,0.2006311248470343,0.2050526509244673,0.2568700210026964,0.2405920800061546,0.169083741020326,0.2633482671507617,0.1252242761790995,0.2460190317128777,0.1398278159308907,0.2276493601445067,0.1641104081558507,0.204616136850261,0.1821534741966652,0.1880788858143212,,,0.197861731260047,0.3203412850776863,0.3064592347335563,0.3342233354218163,0.0753821774424078,0.0581786121098017,0.0925857427750139,,,,,,B,1.0,B,8.0,,268281.0,268941.0,660.0,True,,,08B,08B,,with two yes kind of full sprites that eh again of those squares on that get bigger and bigger.,A,1.0,B,8.0,,290081.0,290601.0,520.0,True,08B,08B,,,That on top is a diamond with two squares that...,
17,1,08D,right_left,right,left,0.5168522710167386,0.5177788918118326,0.7907558273375817,0.7864238991967181,0.1341083493673286,0.483393364936669,0.1239203792641339,0.4876120797377536,0.1112688819287435,0.4772993188541126,0.0979749910266822,0.4299730731360621,0.0812676920794041,0.3753036148497258,0.0957010488013184,0.4474984473705911,0.1011747544589359,0.0496003348236522,0.0443197088800773,0.0548809607672272,0.1527491740942196,0.2756709990330113,0.0298273491554278,,,,,,B,1.0,B,8.0,,275956.0,276286.0,330.0,True,,,08D,,,And on the side you have an arm #voice creaks# that looks like it's going to give a hug.,A,2.0,A,8.0,,721682.0,722082.0,400.0,True,,08D,,,and an f- arm on the side with an eh window on top of it,
18,1,08E,left_right,left,right,0.4179009693507185,0.4251129017038013,0.4612731994536544,0.3167615872096673,0.2466829266783083,0.1297405748091443,0.3526269134908664,0.1556181279181749,0.3978349493557916,0.2093002938101853,0.3963893961812693,0.2132845258908055,0.360476623844281,0.1740829951197475,0.3067322334304562,0.2416035198970868,0.1805431653980347,0.0369652157467896,0.0441964370855518,0.0297339944080273,0.3241211150492797,0.2193523318853162,0.4288898982132433,,,,,,B,1.0,B,8.0,,279400.0,280260.0,860.0,True,,,,08E,,,A,2.0,A,8.0,,719876.0,720296.0,420.0,True,08E,,,,and then a foot underneath,
19,1,05D,both,both,both,0.1332700887870448,0.1440836428987402,0.0786246046974889,0.1384429089531968,0.2483068661848348,0.0537540025391305,0.3032136754741503,0.0634679434906967,0.2435042007198921,0.0719660431430595,0.1585387504911693,0.0609073311601493,0.1297336905185579,0.0487810480722114,,,0.2108070740929428,0.2100638559829828,0.088946533677908,0.3311811782880576,0.2115502922029027,0.1857241530475691,0.2373764313582364,,,,,,A,1.0,A,5.0,,337318.0,337648.0,330.0,True,05E,05D,,,So yes he has two little arms that are the same and that cock crest is say a big um rectangular loft blo- block on top of that thingy.,Oh yes #laughs#,B,2.0,B,5.0,,755214.0,755634.0,420.0,True,,,05E,05D,"Oh, the penguin.",and two little arms.
20,1,05E,both,both,both,0.1332700887870448,0.1440836428987402,0.0786246046974889,0.1384429089531968,0.2483068661848348,0.0537540025391305,0.3032136754741503,0.0634679434906967,0.2435042007198921,0.0719660431430595,0.1585387504911693,0.0609073311601493,0.1297336905185579,0.0487810480722114,,,0.2108070740929428,0.2100638559829828,0.088946533677908,0.3311811782880576,0.2115502922029027,0.1857241530475691,0.2373764313582364,,,,,,A,1.0,A,5.0,,337318.0,337648.0,330.0,True,05E,05D,,,So yes he has two little arms that are the same and that cock crest is say a big um rectangular loft blo- block on top of that thingy.,Oh yes #laughs#,B,2.0,B,5.0,,755214.0,755634.0,420.0,True,,,05E,05D,"Oh, the penguin.",and two little arms.
21,1,05A,both,both,right,0.2604584835063944,0.2750003857261187,0.9338798264582764,0.2464869362108644,0.2459047519634364,0.0804601356854736,0.3175480281488408,0.1709633155894418,0.2760488517127639,0.1545158350493042,0.2556507562822674,0.1291667898901539,0.2166010613045886,0.0982755137813215,,,0.2414937643891817,0.2773967532117786,0.3901573901336323,0.1646361162899248,0.2055907755665847,0.0281939638764553,0.3829875872567142,,,,,,A,1.0,A,5.0,,343321.0,344281.0,960.0,True,05A,05A,,,So yes he has two little arms that are the same and that cock crest is say a big um rectangular loft blo- block on top of that thingy.,,B,1.0,A,5.0,,368897.0,369517.0,620.0,True,,,,05A,,Does that one have a one rectangular beam on top?
22,1,04B,right,right,right,0.1509678941375044,0.1632657322065636,,0.0784316919899556,,0.1773818985009095,,0.2021969692013494,,0.1578576361342767,,0.1438689285044926,,0.1460702404940428,,,0.194497712659555,0.1837990434404674,0.0122854466782195,0.3553126402027154,0.2051963818786426,0.0421775834045401,0.3682151803527451,,,,,,B,1.0,B,4.0,,394656.0,395356.0,700.0,True,,,,04B,,on the right side in it.,A,1.0,B,4.0,,411490.0,411820.0,330.0,True,,04B,,,"and those, those, say, are two straight flat beams attached to...",
23,1,07B,both,both,both,0.1309993215878418,0.1351005641696912,0.1774224328669832,0.1243427646135888,0.1407322630763167,0.1293953954251309,0.1581770766764419,0.104019204338187,0.143179910154121,0.0982072676521207,0.1338749669253975,0.09644987241237,0.1428309986550937,0.1233597062583498,,,0.1488177162340138,0.2496961666076028,0.2886457425057634,0.2107465907094421,0.0479392658604248,0.0476063858861723,0.0482721458346773,,,,,,A,1.0,A,7.0,,420881.0,422556.0,1675.0,True,07B,07B,,,Ehm because he's so on half of the things a sits kind of plank.,,B,2.0,B,7.0,,663666.0,663996.0,330.0,True,,,07B,07B,,but up there with the tray on top and a kind of table eh down.
24,1,02A,left_right,left,right,0.508679407144296,0.5099919051317484,0.8407382975673822,1.3871338563181022,0.3627753043181387,0.3067086909945856,0.3897035379355265,0.3923217024005626,0.3551513286989609,0.3701614366593461,0.3264870266079476,0.3352354167562774,0.3022758735334453,0.2684584676412211,0.5378011287425766,0.3921624996520159,0.2711074156130104,0.4469584480981285,0.8600539632826747,0.0338629329135823,0.0952563831278922,0.0196641347887477,0.1708486314670367,,,,,,B,1.0,B,2.0,,449178.0,449578.0,400.0,True,,,,02A,,"This one has an um yes ice cream cone on the head, on the top.",A,2.0,A,2.0,,704621.0,705402.0,781.0,True,02A,,,,Um this is again eh that rider the with that eh ice cream cone on the head.,
25,1,14A,both,both,left,0.309932894908559,0.3140906583857746,0.880161882867545,0.4844495468624994,0.2536105542936992,0.2081692568552372,0.3783112479570157,0.2195929541784054,0.3599514917286444,0.1676668368391795,0.3002727452933284,0.1423505871056589,0.2048445509283893,0.1198130839931056,,,0.1647101780957501,0.2115653417496641,0.215861524168084,0.2072691593312441,0.1178550144418362,0.1049988667922717,0.1307111620914007,,,,,,A,2.0,A,14.0,,541800.0,542300.0,500.0,True,14A,14A,,,Eh this is eh with a sphere on top,,B,3.0,B,14.0,,903306.0,903636.0,330.0,True,,,14A,,,This is the one with the two arms and the little ball on top
26,1,14C,both,both,right,0.3222915020510078,0.3240041500778867,0.6751275395569204,0.3054362713184287,0.257003403264429,0.3019383940323182,0.32254928963675,0.3064407755056541,0.3359347386902523,0.240719113399239,0.3611188626499588,0.2102988940638974,0.3784216122729705,0.1725091302212751,,,0.349156215061012,0.2332976018404933,0.1889916913035086,0.277603512377478,0.4650148282815307,0.0572351513375683,0.8727945052254931,,,,,,A,2.0,A,14.0,,549281.0,549701.0,420.0,True,14C,14C,,,"and a um um rectangular, yes, rectangular, stretch rectangular beam",,B,3.0,B,14.0,,905520.0,906260.0,740.0,True,,,,14C,,and the beam in front.
27,1,14B,both,both,both,0.2665917193498184,0.2713167875659069,0.6119071701854831,0.6900764502372265,0.224183495078165,0.2264294710823979,0.2210145653632008,0.2313821061526175,0.1916329036755721,0.2164182089824728,0.1506625142272309,0.1826893284266267,0.1136291365133239,0.1390752822735035,,,0.3246357662483298,0.4467540010086139,0.4933200937047627,0.4001879083124651,0.2025175314880455,0.249438270817871,0.1555967921582201,,,,,,A,2.0,A,14.0,,558111.0,558491.0,380.0,True,14D,14B,,,"And then two bulges of arms,",,B,3.0,B,14.0,,901671.0,902111.0,440.0,True,,,14D,14B,,This is the one with the two arms and the little ball on top
28,1,14D,both,both,both,0.2665917193498184,0.2713167875659069,0.6119071701854831,0.6900764502372265,0.224183495078165,0.2264294710823979,0.2210145653632008,0.2313821061526175,0.1916329036755721,0.2164182089824728,0.1506625142272309,0.1826893284266267,0.1136291365133239,0.1390752822735035,,,0.3246357662483298,0.4467540010086139,0.4933200937047627,0.4001879083124651,0.2025175314880455,0.249438270817871,0.1555967921582201,,,,,,A,2.0,A,14.0,,558111.0,558491.0,380.0,True,14D,14B,,,"And then two bulges of arms,",,B,3.0,B,14.0,,901671.0,902111.0,440.0,True,,,14D,14B,,This is the one with the two arms and the little ball on top
29,1,09A,both,both,right,0.2746957047088534,0.2768467590153513,0.4781194361044434,0.5365806603334228,0.3208070153534506,0.2656644476677825,0.2362028641981109,0.2699562782576062,0.189996742401858,0.2559040374476076,0.1565469966913514,0.2371074118444791,0.149216019690663,0.2002465465154652,,,0.075468882760005,0.0631872928691597,0.0268067651796161,0.0995678205587032,0.0877504726508503,0.0138621689517634,0.1616387763499373,,,,,,B,2.0,B,9.0,,577858.0,578188.0,330.0,True,,,,09A,,And then so you have the spoon in the glass and then another um protrusion,A,3.0,A,9.0,,764147.0,764477.0,330.0,True,09D,09A,,,"Oh, I got the cocktail again with the little lemon, and the little arm and the er stirrer.",
30,1,09C,left_right,left,right,0.402976934711951,0.4033854428825437,0.5312638032854029,0.501856731268816,0.3433616028917967,0.1455747017155058,0.2957301619303032,0.2143967343642452,0.2194207745584911,0.1781483832778261,0.1716538915020008,0.1610662389670369,0.1613444486010383,0.1564069954268007,0.4614390024985228,0.3092052279145073,0.2293626532566704,0.2885967449223849,0.3422670956311395,0.2349263942136303,0.1701285615909559,0.0359198251032443,0.3043372980786675,,,,,,B,2.0,B,9.0,,581067.0,582301.0,1234.0,True,,,,09C,,And then so you have the spoon in the glass and then another um protrusion,A,3.0,A,9.0,,764448.0,764868.0,420.0,True,09C,,,,"Oh, I got the cocktail again with the little lemon, and the little arm and the er stirrer.",
31,1,16A,both,both,right,0.2384112744270091,0.2466449454307024,0.6658603489387432,0.1709521125377284,0.1971130463887256,0.2430670511942875,0.1191294171481243,0.3348420490006076,0.094541624099343,0.3380993731728758,0.0628972098869422,0.3145385943852428,0.0558565729488334,0.2640378934226554,,,0.1451622044009821,0.2314916125922764,0.2513578062772302,0.2116254189073226,0.0588327962096878,0.0114078000297406,0.106257792389635,,,,,,A,2.0,A,16.0,,606504.0,606834.0,330.0,True,16A,16C,,,"That's kind of, um, oval that are in there.",,B,3.0,B,16.0,,819004.0,819334.0,330.0,True,,,,16A,Yes.,I have the one with the oval at the top and on the left side and two more protrusions.
32,1,16C,both,both,left,0.2655193253502733,0.2709989033555106,0.2368764225502301,0.6443901780954154,0.218675690930772,0.2002839470846442,0.3041834524442587,0.2249429903608314,0.2857769329191991,0.2048385212364266,0.2644162599619538,0.1833950972698601,0.2436646918429889,0.1747877195066988,,,0.2058458134833235,0.2314916125922764,0.2513578062772302,0.2116254189073226,0.1802000143743706,0.3051014848447144,0.0552985439040268,,,,,,A,2.0,A,16.0,,606504.0,606834.0,330.0,True,16A,16C,,,"That's kind of, um, oval that are in there.",,B,3.0,B,16.0,,819902.0,820232.0,330.0,True,,,16C,,Yes.,I have the one with the oval at the top and on the left side and two more protrusions.
33,1,07A,both,both,right,0.2149763870094118,0.2188516477145423,0.3237460339548686,0.1446410118809213,0.2452501269913375,0.1081910918491456,0.3217331101260375,0.1985991290147335,0.2756551625643295,0.1739303496788646,0.2427497571247444,0.1752303840132452,0.2166517075975358,0.1533387793171776,,,0.1357737667221739,0.2331084753294957,0.3064809654687638,0.1597359851902276,0.038439058114852,0.0238604565813778,0.0530176596483263,,,,,,B,2.0,B,7.0,,665031.0,665371.0,340.0,True,,,,07A,,but up there with the tray on top and a kind of table eh down.,A,2.0,B,7.0,,674000.0,674600.0,600.0,True,07A,07A,,,Um is that the one with the slide or the one with the tray in front?,
34,1,06D,both,both,right,0.162202990785138,0.171484209607324,0.1660823373462577,0.1487247403756863,0.1775263074401847,0.3278470974680076,0.0937316920577804,0.3198331082196151,0.0530718699368821,0.2606838290529815,0.0162140060798224,0.2046408234881294,0.022443466872564,0.1556366110837444,,,0.1937752471477256,0.2859734904419552,0.2680455071234394,0.3039014737604709,0.101577003853496,0.0567169538591531,0.1464370538478389,,,,,,A,2.0,A,6.0,,683133.0,683553.0,420.0,True,06D-REP,06D-REP,,,Um this is the one again with that little arm with the one with the (bolt) through it and a circle on the back.,,B,3.0,B,6.0,,867896.0,868226.0,330.0,True,,,,06D,,
35,1,13D,both,both,both,0.4104456081033499,0.4210057246950378,0.6842756084979762,0.4732681201740943,0.5718871209340748,0.2292306947241567,0.6588571578311259,0.2379832819049592,0.6315414569136116,0.1898931327473564,0.5288175297172054,0.1785073093847283,0.423726803418426,0.1173590809924836,,,0.1617475329838812,0.0828110175966974,0.0182977505430019,0.147324284650393,0.240684048371065,0.2199604185852821,0.2614076781568478,1.0,0.0,0.0,0.0,,B,2.0,B,13.0,,694535.0,694915.0,380.0,True,,,13D,13D,,Um this is the one that is eh on the tray,A,3.0,A,13.0,,835547.0,835947.0,400.0,True,13D,13D,,,"Um I have the standing one with the um circle um hands on the side,",
36,1,13A,both,both,both,0.3256574042929113,0.3316934713544694,0.4273252701099946,0.435028719168178,0.2187170301039526,0.414229629337572,0.2513771517051612,0.3992994624581354,0.2682428022216752,0.3863364877593875,0.2482032826402236,0.351793988947391,0.2052676095291241,0.3020674175341407,,,0.1518733378042229,0.2021957228815558,0.2024301610783566,0.201961284684755,0.1015509527268899,0.0888742493875326,0.1142276560662472,,,,,,B,2.0,B,13.0,,696470.0,696800.0,330.0,True,,,13A-REP,13A-REP,,With the two eh protrusions with spheres.,A,3.0,A,13.0,,836594.0,836924.0,330.0,True,13A,13A,,,"Um I have the standing one with the um circle um hands on the side,",
37,1,02A,left_right,left,right,0.4519512945605243,0.4537843224427702,0.7535190677321334,0.6794764259156049,0.2771476621629006,0.4034996864352771,0.2738550827780679,0.4134849708388786,0.2451580952178221,0.3734170151214649,0.2335614169795536,0.3297442516229286,0.2245468872177801,0.2799916046755662,0.2565062536159468,0.3901445930135215,0.250492187600061,0.4469584480981285,0.8600539632826747,0.0338629329135823,0.0540259271019934,0.0153506421589664,0.0927012120450204,,,,,,A,2.0,A,2.0,,704621.0,705402.0,781.0,True,02A,,,,Um this is again eh that rider the with that eh ice cream cone on the head.,,B,3.0,B,2.0,,850786.0,851116.0,330.0,True,,,,02A,,I got the one with the toppled ice cream cone on it.
38,1,08D,right_left,right,left,0.3992462748232019,0.402428950436154,0.8327792983069779,0.9247664808335936,0.0920428621368441,0.4675056047763301,0.0673467992747437,0.5150327367409012,0.0515640590571349,0.5010374262879997,0.0458859237932725,0.4505052210861321,0.0440962641365131,0.3984034286636322,0.4607265820955512,0.0861251670722891,0.1143180515582631,0.0496003348236522,0.0443197088800773,0.0548809607672272,0.1790357682928739,0.3202708281729866,0.0378007084127613,,,,,,A,2.0,A,8.0,,721682.0,722082.0,400.0,True,,08D,,,and an f- arm on the side with an eh window on top of it,,B,3.0,B,8.0,,887529.0,887869.0,340.0,True,,,08D,,,Um I have Pinocchio with the little arm that wants to cuddle and on top of the window.
39,1,10A+10B,both,both,both,0.1345644089431986,0.1395499695071145,0.0768710016553697,0.2023301266385461,0.2517586963866947,0.0977983567682759,0.2149480189931729,0.0311514522440417,0.2134880487009965,0.0370723962077967,0.2054916432284679,0.0397122977750206,0.2109772311268271,0.033173637593173,,,0.1245965042513539,0.1811666837145449,0.0046160124452049,0.3577173549838849,0.068026324788163,0.0810391379174376,0.0550135116588884,,,,,,B,3.0,B,10.0,,771508.0,772028.0,520.0,True,,,10E+10F,10A+10B,,Ehm I got the one with the little arms with the balls and the fallen mushroom.,A,6.0,A,10.0,,1186580.0,1186910.0,330.0,True,10E+10F,10A+10B,,,Ehm I got the one again with the two little arms and the fallen mushroom.,
40,1,10E+10F,both,both,both,0.1345644089431986,0.1395499695071145,0.0768710016553697,0.2023301266385461,0.2517586963866947,0.0977983567682759,0.2149480189931729,0.0311514522440417,0.2134880487009965,0.0370723962077967,0.2054916432284679,0.0397122977750206,0.2109772311268271,0.033173637593173,,,0.1245965042513539,0.1811666837145449,0.0046160124452049,0.3577173549838849,0.068026324788163,0.0810391379174376,0.0550135116588884,,,,,,B,3.0,B,10.0,,771508.0,772028.0,520.0,True,,,10E+10F,10A+10B,,Ehm I got the one with the little arms with the balls and the fallen mushroom.,A,6.0,A,10.0,,1186580.0,1186910.0,330.0,True,10E+10F,10A+10B,,,Ehm I got the one again with the two little arms and the fallen mushroom.,
